CellID,LongAxis,ShortAxis,Area,RegionScore,XPosition,YPosition,Fluor1Sum,Fluor1Mean,Fluor1Background,Fluor1BgStd,Fluor1FociNumber,Fluor2Sum,Fluor2Mean,Fluor2Background,Fluor2BgStd,Fluor2FociNumber,Fluor3Sum,Fluor3Mean,Fluor3Background,Fluor3BgStd,Fluor3FociNumber,MeshArea,MeshSolidity,MeshAxisLength,MeshRibsLengthMax,MeshRibsLengthMean,MeshRibsLengthStd,MeshCurvatureMax,MeshCurvatureMean,MeshCurvatureInflection,MeshSinuosity,MeshVolume,NumOfNeighbors,RegionGrayVal,TimeFrames,AgeFrames,RelativeAge,xyFolder,DateTime,Folder,StageXposition,StageYposition,StageZposition,PhaseConfig,Fluo1Config,Fluo2Config,Fluo3Config
1,40,11.1550470392294,446,49.5159960133385,56.219730941704,2033.7869955157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389.82288192883,0.954030850000747,38.9188106905507,11.4887849980139,9.75640974859574,2.3378717931901,0.00494041749080615,0.00221511157650245,2,1.00023882936542,2909.57465271229,0,19235.5919282511,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
2,42,12.7250044247591,536,49.0721670362481,151.753731343284,1221.52611940299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461.993252488919,0.936661751818015,42.2030264810983,12.7199880343752,10.7551717642858,2.3590497057265,0.0185925207493462,0.0110811797580875,0,1.01307143253154,3834.14187454229,0,18265.5055970149,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
3,45,11.9784194262826,540,48.7564905235816,197.038888888889,1588.42592592593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,473.429864623727,0.915044990346897,45.8169105285197,12.0576004354333,10.1722309118978,2.12305190772313,0.0154335493499942,0.00664806866122107,2,1.00724956099782,3723.47208928532,0,18705.3685185185,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
4,39,11.6106628556647,453,49.2229284854561,223.80353200883,406.887417218543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408.264449952403,0.949050510099272,38.7860642385737,11.9976133182358,10.3363021761108,2.29283417163755,0.00898881793696627,0.00418933350014698,2,1.0003981719471,3254.58777034962,0,19023,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
5,46,12.5850112271082,580,49.5797461413675,241.046551724138,1454.56206896552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,502.329673451918,0.954830757973187,45.9448864364468,12.425891434735,10.5882816311814,2.54939808628398,0.0143750608905042,0.00536433142297195,2,1.00215816504858,4045.55427846753,0,18105.4206896552,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
6,50,11.9152032122301,596,49.5358529907577,375.708053691275,2021.20637583893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512.448245667782,0.924529596338466,49.5205866219161,12.0043586847032,10.0478643978305,2.39349175548208,0.0748140690487539,0.00512130282542745,2,1.00167712163986,3926.65904521654,0,19060.0939597315,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
7,40,12.4127848718753,497,49.3059620110311,493.338028169014,941.426559356137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440.643376147264,0.97318743219754,39.8683934388742,12.7098544520617,10.8737311887117,2.41914844512087,0.00773225128839951,0.00273954445261419,1,1.00023412366425,3702.3357604221,0,18125.1187122736,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
8,49,12.1670041509266,597,49.3023251579617,667.107202680067,961.410385259632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,533.467646590742,0.927831430490015,49.624125016449,12.380166567909,10.5602198885944,2.2215434965495,0.0116691951124906,0.00565511404088003,1,1.00552307237209,4346.38973435226,0,18471.351758794,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
9,38,12.4929455509083,476,49.1798698639622,697.985294117647,749.720588235294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,420.96083331505,0.975746969297409,37.7940477554405,12.9668513741062,10.9260759333539,2.53177758389491,0.00558436547402533,0.00191759816664435,2,1.00019446761189,3543.57572323386,0,17990.7205882353,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
10,38,11.8278427464213,450,46.7184354129423,701.511111111111,1040.70444444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,407.731655330836,0.957386043158701,38.6965873310273,12.6771973652547,10.3237909147308,2.43908933635377,0.00496805702006155,0.00223022993793986,2,1.00024043914612,3239.22375022296,0,18693.3866666667,1,1,1,5,2018-11-09T16:54:49.410,20181109_ecoli_ARA_P4_50K,500,-866,162.725,DIA_100X_EMPTY_1x1_200ms,,,
