"Multisizer","2020-02-15  16:05"
"File name:","50K_M3_2020-02-15_06.#m4"
"Generation:","50K"
"Population:","M3"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2020-02-15  16:05"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","133245"
"Counting threshold:","0.600"
"Counts above threshold:","133245"
"Coincidence corrected:","154816"

"From","0.113"
"To","22.45"
"Number ",154.8e3
"Mean:","0.871"
"Median:","0.704"
"D(0,0):",1.134
"Mean/Median ratio:","1.237"
"Mode:","0.618"
"95% Conf. Limits:","0.868"
"95% Conf. Limits:","0.874"
"S.D.:","0.637"
"Variance:","0.406"
"C.V.:","73.18"
"Skewness:","6.396"
"Kurtosis:","76.58"
"d10:","0.478"
"d50:","0.704"
"d90:","1.458"
"Specific Surf. Area:","49013"

"% <","Size "
10,0.478
25,0.570
50,0.704
75,0.920
90,1.458

"% >","Size "
10,1.458
25,0.920
50,0.704
75,0.570
90,0.478

"Size ","% <"
1,80.1
10,99.95
100,100
1000,100

"Size ","% >"
1,19.9
10,0.045
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,56,0.113,0.117,0.121
2,39,0.121,0.126,0.130
3,36,0.130,0.135,0.140
4,27,0.140,0.144,0.149
5,24,0.149,0.154,0.159
6,38,0.159,0.165,0.170
7,8,0.170,0.175,0.181
8,32,0.181,0.186,0.192
9,45,0.192,0.198,0.204
10,28,0.204,0.210,0.217
11,34,0.217,0.223,0.229
12,40,0.229,0.236,0.243
13,78,0.243,0.250,0.257
14,78,0.257,0.264,0.271
15,95,0.271,0.279,0.286
16,172,0.286,0.294,0.302
17,235,0.302,0.310,0.318
18,320,0.318,0.326,0.334
19,422,0.334,0.343,0.351
20,624,0.351,0.360,0.369
21,924,0.369,0.378,0.387
22,1341,0.387,0.397,0.406
23,1793,0.406,0.416,0.426
24,2389,0.426,0.436,0.446
25,3249,0.446,0.456,0.467
26,4170,0.467,0.478,0.488
27,5082,0.488,0.499,0.510
28,5882,0.510,0.522,0.533
29,6744,0.533,0.545,0.556
30,7311,0.556,0.568,0.581
31,7899,0.581,0.593,0.605
32,8269,0.605,0.618,0.631
33,7764,0.631,0.644,0.657
34,7572,0.657,0.670,0.684
35,6941,0.684,0.697,0.711
36,6752,0.711,0.725,0.740
37,6234,0.740,0.754,0.769
38,5785,0.769,0.784,0.798
39,5398,0.798,0.814,0.829
40,4979,0.829,0.845,0.860
41,4512,0.860,0.876,0.892
42,3913,0.892,0.909,0.925
43,3489,0.925,0.942,0.959
44,2738,0.959,0.976,0.993
45,2408,0.993,1.011,1.029
46,1994,1.029,1.047,1.065
47,1710,1.065,1.083,1.102
48,1360,1.102,1.121,1.140
49,1338,1.140,1.159,1.178
50,1114,1.178,1.198,1.218
51,1074,1.218,1.238,1.258
52,1079,1.258,1.279,1.300
53,1036,1.300,1.321,1.342
54,1049,1.342,1.363,1.385
55,995,1.385,1.407,1.429
56,875,1.429,1.452,1.474
57,1093,1.474,1.497,1.520
58,946,1.520,1.543,1.567
59,1033,1.567,1.591,1.614
60,983,1.614,1.639,1.663
61,935,1.663,1.688,1.713
62,864,1.713,1.738,1.764
63,772,1.764,1.789,1.815
64,659,1.815,1.842,1.868
65,587,1.868,1.895,1.922
66,601,1.922,1.949,1.976
67,492,1.976,2.004,2.032
68,448,2.032,2.060,2.089
69,443,2.089,2.118,2.147
70,399,2.147,2.176,2.206
71,360,2.206,2.236,2.265
72,358,2.265,2.296,2.327
73,296,2.327,2.358,2.389
74,289,2.389,2.420,2.452
75,253,2.452,2.484,2.516
76,254,2.516,2.549,2.582
77,227,2.582,2.615,2.648
78,223,2.648,2.682,2.716
79,196,2.716,2.750,2.785
80,196,2.785,2.820,2.855
81,179,2.855,2.890,2.926
82,151,2.926,2.962,2.998
83,140,2.998,3.035,3.071
84,142,3.071,3.109,3.146
85,106,3.146,3.184,3.222
86,131,3.222,3.261,3.299
87,84,3.299,3.338,3.377
88,94,3.377,3.417,3.457
89,103,3.457,3.497,3.538
90,77,3.538,3.579,3.620
91,80,3.620,3.661,3.703
92,70,3.703,3.745,3.788
93,62,3.788,3.831,3.873
94,53,3.873,3.917,3.961
95,53,3.961,4.005,4.049
96,42,4.049,4.094,4.139
97,47,4.139,4.184,4.230
98,46,4.230,4.276,4.322
99,33,4.322,4.369,4.416
100,29,4.416,4.463,4.511
101,45,4.511,4.559,4.607
102,30,4.607,4.656,4.705
103,19,4.705,4.755,4.804
104,21,4.804,4.854,4.905
105,33,4.905,4.956,5.007
106,12,5.007,5.058,5.110
107,12,5.110,5.162,5.215
108,19,5.215,5.268,5.321
109,19,5.321,5.375,5.428
110,15,5.428,5.483,5.537
111,12,5.537,5.593,5.648
112,9,5.648,5.704,5.760
113,11,5.760,5.816,5.873
114,13,5.873,5.931,5.988
115,12,5.988,6.046,6.104
116,5,6.104,6.163,6.222
117,8,6.222,6.282,6.342
118,13,6.342,6.402,6.462
119,8,6.462,6.524,6.585
120,2,6.585,6.647,6.709
121,6,6.709,6.772,6.834
122,5,6.834,6.898,6.961
123,0,6.961,7.026,7.090
124,4,7.090,7.155,7.220
125,1,7.220,7.286,7.352
126,2,7.352,7.419,7.485
127,0,7.485,7.553,7.620
128,2,7.620,7.689,7.757
129,2,7.757,7.826,7.895
130,4,7.895,7.965,8.035
131,2,8.035,8.106,8.176
132,13,8.176,8.248,8.319
133,21,8.319,8.392,8.464
134,14,8.464,8.537,8.611
135,9,8.611,8.685,8.759
136,10,8.759,8.834,8.909
137,9,8.909,8.984,9.060
138,16,9.060,9.137,9.213
139,14,9.213,9.291,9.368
140,15,9.368,9.447,9.525
141,2,9.525,9.604,9.683
142,4,9.683,9.764,9.844
143,9,9.844,9.925,10.01
144,4,10.01,10.09,10.17
145,2,10.17,10.25,10.33
146,2,10.33,10.42,10.50
147,4,10.50,10.59,10.67
148,4,10.67,10.76,10.84
149,7,10.84,10.93,11.01
150,7,11.01,11.10,11.19
151,10,11.19,11.28,11.37
152,0,11.37,11.45,11.54
153,3,11.54,11.63,11.72
154,10,11.72,11.81,11.91
155,4,11.91,12.00,12.09
156,2,12.09,12.18,12.27
157,0,12.27,12.37,12.46
158,0,12.46,12.56,12.65
159,0,12.65,12.75,12.84
160,0,12.84,12.94,13.04
161,0,13.04,13.13,13.23
162,2,13.23,13.33,13.43
163,2,13.43,13.53,13.63
164,2,13.63,13.73,13.83
165,0,13.83,13.93,14.03
166,0,14.03,14.13,14.24
167,0,14.24,14.34,14.44
168,0,14.44,14.55,14.65
169,3,14.65,14.76,14.86
170,0,14.86,14.97,15.08
171,0,15.08,15.18,15.29
172,0,15.29,15.40,15.51
173,0,15.51,15.62,15.73
174,0,15.73,15.84,15.95
175,0,15.95,16.06,16.17
176,0,16.17,16.28,16.40
177,0,16.40,16.51,16.62
178,0,16.62,16.74,16.85
179,0,16.85,16.97,17.09
180,0,17.09,17.20,17.32
181,0,17.32,17.44,17.55
182,0,17.55,17.67,17.79
183,0,17.79,17.91,18.03
184,0,18.03,18.15,18.27
185,0,18.27,18.40,18.52
186,0,18.52,18.64,18.77
187,0,18.77,18.89,19.01
188,2,19.01,19.14,19.26
189,0,19.26,19.39,19.52
190,0,19.52,19.65,19.77
191,0,19.77,19.90,20.03
192,0,20.03,20.16,20.29
193,0,20.29,20.42,20.55
194,0,20.55,20.68,20.82
195,0,20.82,20.95,21.08
196,0,21.08,21.22,21.35
197,0,21.35,21.49,21.62
198,0,21.62,21.76,21.90
199,0,21.90,22.03,22.17
200,0,22.17,22.31,22.45
,,22.45,,

"Sequence","Time","Volume","Diameter"
"","seconds","fL","um"
1,0.000,2.978,1.785
2,0.000,0.728,1.116
3,0.000,2.210,1.616
4,0.001,0.742,1.123
5,0.001,0.928,1.210
6,0.001,2.391,1.659
7,0.001,1.415,1.393
8,0.002,0.557,1.021
9,0.002,0.714,1.109
10,0.002,0.695,1.099
11,0.002,0.967,1.227
12,0.002,1.570,1.442
13,0.003,0.734,1.119
14,0.003,1.323,1.362
15,0.003,1.610,1.454
16,0.003,1.300,1.354
17,0.003,0.536,1.008
18,0.004,2.983,1.786
19,0.004,0.638,1.068
20,0.004,0.625,1.061
21,0.004,1.121,1.289
22,0.005,1.379,1.381
23,0.005,0.631,1.064
24,0.005,0.720,1.112
25,0.005,0.907,1.201
26,0.005,0.758,1.131
27,0.006,0.991,1.237
28,0.006,0.667,1.084
29,0.006,0.507,0.990
30,0.006,1.283,1.348
31,0.007,1.400,1.388
32,0.007,2.697,1.727
33,0.007,1.764,1.499
34,0.007,0.463,0.960
35,0.007,0.841,1.171
36,0.008,0.418,0.928
37,0.008,0.776,1.140
38,0.008,3.468,1.878
39,0.008,0.613,1.054
40,0.008,0.960,1.224
41,0.009,2.053,1.577
42,0.009,2.038,1.573
43,0.009,0.342,0.868
44,0.009,0.740,1.122
45,0.010,1.132,1.293
46,0.010,2.234,1.622
47,0.010,1.257,1.339
48,0.010,0.736,1.120
49,0.010,0.786,1.145
50,0.011,2.568,1.699
51,0.011,0.493,0.980
52,0.011,1.603,1.452
53,0.011,0.720,1.112
54,0.011,1.323,1.362
55,0.012,1.306,1.356
56,0.012,1.477,1.413
57,0.012,0.660,1.080
58,0.012,0.632,1.065
59,0.013,1.817,1.514
60,0.013,0.491,0.979
61,0.013,1.757,1.497
62,0.013,0.471,0.965
63,0.013,0.811,1.157
64,0.014,1.033,1.254
65,0.014,1.035,1.255
66,0.014,1.311,1.358
67,0.014,1.182,1.312
68,0.015,0.615,1.055
69,0.015,1.563,1.440
70,0.015,0.703,1.103
71,0.015,0.699,1.101
72,0.015,1.013,1.246
73,0.016,1.894,1.535
74,0.016,3.643,1.909
75,0.016,2.007,1.565
76,0.016,0.744,1.124
77,0.016,0.826,1.164
78,0.017,0.494,0.981
79,0.017,1.746,1.494
80,0.017,1.249,1.336
81,0.017,0.822,1.162
82,0.018,1.132,1.293
83,0.018,0.627,1.062
84,0.018,0.849,1.175
85,0.018,3.326,1.852
86,0.018,0.530,1.004
87,0.019,0.839,1.170
88,0.019,1.314,1.359
89,0.019,1.060,1.265
90,0.019,1.746,1.494
91,0.020,0.640,1.069
92,0.020,2.465,1.676
93,0.020,2.339,1.647
94,0.020,1.785,1.505
95,0.020,2.664,1.720
96,0.021,0.490,0.978
97,0.021,0.979,1.232
98,0.021,0.491,0.979
99,0.021,1.106,1.283
100,0.021,0.360,0.883
101,0.022,0.766,1.135
102,0.022,0.622,1.059
103,0.022,0.843,1.172
104,0.022,0.455,0.954
105,0.023,1.028,1.252
106,0.023,0.928,1.210
107,0.023,2.268,1.630
108,0.023,0.527,1.002
109,0.023,2.214,1.617
110,0.024,0.805,1.154
111,0.024,0.746,1.125
112,0.024,0.744,1.124
113,0.024,2.461,1.675
114,0.024,2.197,1.613
115,0.025,2.181,1.609
116,0.025,0.873,1.186
117,0.025,0.599,1.046
118,0.025,1.518,1.426
119,0.026,1.221,1.326
120,0.026,0.408,0.920
121,0.026,1.251,1.337
122,0.026,0.554,1.019
123,0.026,1.824,1.516
124,0.027,0.452,0.952
125,0.027,2.706,1.729
126,0.027,6.092,2.266
127,0.027,1.544,1.434
128,0.028,0.693,1.098
129,0.028,0.839,1.170
130,0.028,0.527,1.002
131,0.028,1.890,1.534
132,0.028,1.335,1.366
133,0.029,0.416,0.926
134,0.029,0.730,1.117
135,0.029,1.590,1.448
136,0.029,1.050,1.261
137,0.029,0.784,1.144
138,0.030,0.923,1.208
139,0.030,1.872,1.529
140,0.030,0.669,1.085
141,0.030,1.394,1.386
142,0.031,0.800,1.152
143,0.031,3.643,1.909
144,0.031,3.794,1.935
145,0.031,0.903,1.199
146,0.031,0.760,1.132
147,0.032,0.854,1.177
148,0.032,1.294,1.352
149,0.032,0.824,1.163
150,0.032,0.678,1.090
151,0.033,0.873,1.186
152,0.033,0.506,0.989
153,0.033,0.567,1.027
154,0.033,0.528,1.003
155,0.033,1.332,1.365
156,0.034,3.183,1.825
157,0.034,3.267,1.841
158,0.034,0.921,1.207
159,0.034,1.085,1.275
160,0.034,0.960,1.224
161,0.035,2.988,1.787
162,0.035,0.632,1.065
163,0.035,0.559,1.022
164,0.035,0.970,1.228
165,0.036,2.276,1.632
166,0.036,0.465,0.961
167,0.036,0.158,0.670
168,0.036,0.587,1.039
169,0.036,0.916,1.205
170,0.037,1.999,1.563
171,0.037,1.663,1.470
172,0.037,1.778,1.503
173,0.037,1.042,1.258
174,0.037,0.317,0.846
175,0.038,1.506,1.422
176,0.038,0.932,1.212
177,0.038,2.038,1.573
178,0.038,1.976,1.557
179,0.039,1.364,1.376
180,0.039,0.556,1.020
181,0.039,0.516,0.995
182,0.039,2.730,1.734
183,0.039,1.073,1.270
184,0.040,0.809,1.156
185,0.040,0.794,1.149
186,0.040,0.632,1.065
187,0.040,0.828,1.165
188,0.041,0.676,1.089
189,0.041,1.078,1.272
190,0.041,1.006,1.243
191,0.041,1.093,1.278
192,0.041,1.792,1.507
193,0.042,0.507,0.989
194,0.042,0.645,1.072
195,0.042,1.606,1.453
196,0.042,0.647,1.073
197,0.042,1.557,1.438
198,0.043,0.873,1.186
199,0.043,0.204,0.731
200,0.043,0.669,1.085
201,0.043,1.246,1.335
202,0.044,0.453,0.953
203,0.044,1.403,1.389
204,0.044,0.460,0.958
205,0.044,0.742,1.123
206,0.044,4.258,2.011
207,0.045,0.862,1.181
208,0.045,2.465,1.676
209,0.045,0.689,1.096
210,0.045,1.237,1.332
211,0.046,0.963,1.225
212,0.046,2.161,1.604
213,0.046,0.843,1.172
214,0.046,0.138,0.641
215,0.046,0.543,1.012
216,0.047,0.786,1.145
217,0.047,1.352,1.372
218,0.047,1.101,1.281
219,0.047,1.909,1.539
220,0.047,1.570,1.442
221,0.048,1.528,1.429
222,0.048,0.514,0.994
223,0.048,2.234,1.622
224,0.048,2.983,1.786
225,0.049,0.523,1.000
226,0.049,1.428,1.397
227,0.049,2.165,1.605
228,0.049,0.774,1.139
229,0.049,0.858,1.179
230,0.050,0.811,1.157
231,0.050,0.369,0.890
232,0.050,0.409,0.921
233,0.050,5.575,2.200
234,0.050,0.586,1.038
235,0.051,0.684,1.093
236,0.051,1.221,1.326
237,0.051,0.471,0.965
238,0.051,0.726,1.115
239,0.052,2.496,1.683
240,0.052,1.538,1.432
241,0.052,0.736,1.120
242,0.052,0.805,1.154
243,0.052,0.970,1.228
244,0.053,1.567,1.441
245,0.053,0.967,1.227
246,0.053,1.035,1.255
247,0.053,2.859,1.761
248,0.054,0.749,1.127
249,0.054,0.830,1.166
250,0.054,0.551,1.017
251,0.054,0.951,1.220
252,0.054,0.762,1.133
253,0.055,0.660,1.080
254,0.055,1.277,1.346
255,0.055,3.799,1.936
256,0.055,0.803,1.153
257,0.055,1.806,1.511
258,0.056,2.093,1.587
259,0.056,1.212,1.323
260,0.056,0.189,0.712
261,0.056,1.073,1.270
262,0.057,0.665,1.083
263,0.057,0.678,1.090
264,0.057,1.606,1.453
265,0.057,0.788,1.146
266,0.057,1.547,1.435
267,0.058,0.645,1.072
268,0.058,2.474,1.678
269,0.058,0.538,1.009
270,0.058,0.667,1.084
271,0.059,0.792,1.148
272,0.059,1.037,1.256
273,0.059,2.234,1.622
274,0.059,0.522,0.999
275,0.059,0.676,1.089
276,0.060,1.249,1.336
277,0.060,1.817,1.514
278,0.060,0.618,1.057
279,0.060,1.715,1.485
280,0.060,1.883,1.532
281,0.061,0.758,1.131
282,0.061,0.764,1.134
283,0.061,0.551,1.017
284,0.061,0.805,1.154
285,0.062,0.678,1.090
286,0.062,0.960,1.224
287,0.062,0.998,1.240
288,0.062,0.535,1.007
289,0.062,1.502,1.421
290,0.063,0.556,1.020
291,0.063,0.572,1.030
292,0.063,0.817,1.160
293,0.063,0.887,1.192
294,0.063,1.306,1.356
295,0.064,1.596,1.450
296,0.064,2.022,1.569
297,0.064,1.150,1.300
298,0.064,0.523,0.999
299,0.065,1.373,1.379
300,0.065,0.647,1.073
301,0.065,0.716,1.110
302,0.065,2.993,1.788
303,0.065,0.697,1.100
304,0.066,0.730,1.117
305,0.066,0.569,1.028
306,0.066,3.054,1.800
307,0.066,0.170,0.688
308,0.067,0.724,1.114
309,0.067,1.070,1.269
310,0.067,1.093,1.278
311,0.067,0.596,1.044
312,0.067,0.554,1.019
313,0.068,2.816,1.752
314,0.068,1.691,1.478
315,0.068,0.460,0.958
316,0.068,0.869,1.184
317,0.068,0.589,1.040
318,0.069,2.230,1.621
319,0.069,0.830,1.166
320,0.069,0.390,0.906
321,0.069,0.780,1.142
322,0.070,0.665,1.083
323,0.070,0.858,1.179
324,0.070,0.977,1.231
325,0.070,1.137,1.295
326,0.070,1.905,1.538
327,0.071,0.569,1.028
328,0.071,0.880,1.189
329,0.071,1.541,1.433
330,0.071,0.712,1.108
331,0.072,0.845,1.173
332,0.072,0.667,1.084
333,0.072,0.703,1.103
334,0.072,1.297,1.353
335,0.072,0.760,1.132
336,0.073,1.164,1.305
337,0.073,0.636,1.067
338,0.073,0.937,1.214
339,0.073,1.547,1.435
340,0.073,0.661,1.081
341,0.074,1.577,1.444
342,0.074,1.306,1.356
343,0.074,0.918,1.206
344,0.074,0.800,1.152
345,0.075,0.561,1.023
346,0.075,1.483,1.415
347,0.075,0.749,1.127
348,0.075,1.207,1.321
349,0.075,0.794,1.149
350,0.076,1.957,1.552
351,0.076,1.291,1.351
352,0.076,1.204,1.320
353,0.076,0.678,1.090
354,0.077,0.701,1.102
355,0.077,1.035,1.255
356,0.077,1.694,1.479
357,0.077,0.869,1.184
358,0.077,0.591,1.041
359,0.078,1.920,1.542
360,0.078,0.876,1.187
361,0.078,1.817,1.514
362,0.078,0.497,0.983
363,0.078,1.006,1.243
364,0.079,0.862,1.181
365,0.079,0.544,1.013
366,0.079,0.561,1.023
367,0.079,0.641,1.070
368,0.080,1.774,1.502
369,0.080,0.925,1.209
370,0.080,1.030,1.253
371,0.080,0.624,1.060
372,0.080,1.106,1.283
373,0.081,0.751,1.128
374,0.081,0.880,1.189
375,0.081,0.672,1.087
376,0.081,1.942,1.548
377,0.081,1.052,1.262
378,0.082,0.548,1.015
379,0.082,0.867,1.183
380,0.082,1.349,1.371
381,0.082,0.788,1.146
382,0.083,0.620,1.058
383,0.083,0.869,1.184
384,0.083,1.842,1.521
385,0.083,0.569,1.028
386,0.083,1.640,1.463
387,0.084,1.025,1.251
388,0.084,0.383,0.901
389,0.084,1.616,1.456
390,0.084,0.944,1.217
391,0.085,2.177,1.608
392,0.085,0.521,0.998
393,0.085,1.687,1.477
394,0.085,0.749,1.127
395,0.085,1.694,1.479
396,0.086,1.465,1.409
397,0.086,0.891,1.194
398,0.086,1.156,1.302
399,0.086,0.632,1.065
400,0.086,0.768,1.136
401,0.087,1.722,1.487
402,0.087,0.972,1.229
403,0.087,0.649,1.074
404,0.087,1.969,1.555
405,0.088,1.421,1.395
406,0.088,0.963,1.225
407,0.088,0.556,1.020
408,0.088,0.889,1.193
409,0.088,0.627,1.062
410,0.089,1.606,1.453
411,0.089,2.007,1.565
412,0.089,0.311,0.840
413,0.089,3.741,1.926
414,0.090,1.506,1.422
415,0.090,1.924,1.543
416,0.090,1.001,1.241
417,0.090,0.467,0.962
418,0.090,0.516,0.995
419,0.091,0.678,1.090
420,0.091,1.045,1.259
421,0.091,0.697,1.100
422,0.091,1.361,1.375
423,0.091,0.960,1.224
424,0.092,0.807,1.155
425,0.092,2.720,1.732
426,0.092,1.694,1.479
427,0.092,0.351,0.875
428,0.093,0.753,1.129
429,0.093,1.083,1.274
430,0.093,4.132,1.991
431,0.093,0.566,1.026
432,0.093,0.618,1.057
433,0.094,1.567,1.441
434,0.094,0.457,0.956
435,0.094,2.113,1.592
436,0.094,1.308,1.357
437,0.094,1.824,1.516
438,0.095,1.018,1.248
439,0.095,1.164,1.305
440,0.095,0.740,1.122
441,0.095,1.050,1.261
442,0.096,3.315,1.850
443,0.096,1.400,1.388
444,0.096,0.297,0.828
445,0.096,0.749,1.127
446,0.096,0.638,1.068
447,0.097,1.839,1.520
448,0.097,1.619,1.457
449,0.097,0.918,1.206
450,0.097,1.204,1.320
451,0.098,3.991,1.968
452,0.098,2.268,1.630
453,0.098,0.641,1.070
454,0.098,0.469,0.964
455,0.098,2.193,1.612
456,0.099,1.653,1.467
457,0.099,0.896,1.196
458,0.099,0.636,1.067
459,0.099,1.370,1.378
460,0.099,0.923,1.208
461,0.100,1.095,1.279
462,0.100,0.710,1.107
463,0.100,0.873,1.186
464,0.100,0.811,1.157
465,0.101,0.758,1.131
466,0.101,0.928,1.210
467,0.101,0.706,1.105
468,0.101,1.158,1.303
469,0.101,2.077,1.583
470,0.102,2.850,1.759
471,0.102,1.010,1.245
472,0.102,0.663,1.082
473,0.102,0.411,0.923
474,0.103,4.151,1.994
475,0.103,0.377,0.897
476,0.103,0.477,0.970
477,0.103,0.701,1.102
478,0.103,0.476,0.968
479,0.104,0.811,1.157
480,0.104,0.778,1.141
481,0.104,1.547,1.435
482,0.104,2.716,1.731
483,0.104,1.020,1.249
484,0.105,1.379,1.381
485,0.105,1.188,1.314
486,0.105,1.338,1.367
487,0.105,0.749,1.127
488,0.106,2.378,1.656
489,0.106,0.624,1.060
490,0.106,1.606,1.453
491,0.106,1.283,1.348
492,0.106,1.409,1.391
493,0.107,0.488,0.977
494,0.107,0.594,1.043
495,0.107,0.469,0.964
496,0.107,0.807,1.155
497,0.107,0.448,0.950
498,0.108,0.382,0.900
499,0.108,1.640,1.463
500,0.108,3.204,1.829
501,0.108,2.101,1.589
502,0.109,1.778,1.503
503,0.109,0.805,1.154
504,0.109,0.640,1.069
505,0.109,0.319,0.848
506,0.109,2.641,1.715
507,0.110,3.049,1.799
508,0.110,0.867,1.183
509,0.110,3.172,1.823
510,0.110,0.556,1.020
511,0.111,0.408,0.920
512,0.111,11.96,2.837
513,0.111,0.556,1.020
514,0.111,1.040,1.257
515,0.111,0.632,1.065
516,0.112,3.446,1.874
517,0.112,0.622,1.059
518,0.112,0.738,1.121
519,0.112,0.989,1.236
520,0.112,4.658,2.072
521,0.113,0.974,1.230
522,0.113,1.108,1.284
523,0.113,1.633,1.461
524,0.113,1.035,1.255
525,0.114,0.828,1.165
526,0.114,1.643,1.464
527,0.114,0.425,0.933
528,0.114,0.620,1.058
529,0.114,2.181,1.609
530,0.115,0.718,1.111
531,0.115,2.230,1.621
532,0.115,2.674,1.722
533,0.115,0.782,1.143
534,0.116,0.958,1.223
535,0.116,0.474,0.968
536,0.116,0.552,1.018
537,0.116,0.627,1.062
538,0.116,0.862,1.181
539,0.117,1.314,1.359
540,0.117,1.746,1.494
541,0.117,1.496,1.419
542,0.117,0.948,1.219
543,0.117,0.535,1.007
544,0.118,0.770,1.137
545,0.118,5.545,2.196
546,0.118,0.755,1.130
547,0.118,0.695,1.099
548,0.119,3.782,1.933
549,0.119,0.559,1.022
550,0.119,2.669,1.721
551,0.119,0.805,1.154
552,0.119,0.873,1.186
553,0.120,0.740,1.122
554,0.120,1.385,1.383
555,0.120,0.525,1.001
556,0.120,1.196,1.317
557,0.120,1.067,1.268
558,0.121,1.670,1.472
559,0.121,0.986,1.235
560,0.121,1.835,1.519
561,0.121,0.479,0.971
562,0.122,1.619,1.457
563,0.122,1.544,1.434
564,0.122,2.568,1.699
565,0.122,0.951,1.220
566,0.122,0.755,1.130
567,0.123,0.912,1.203
568,0.123,3.059,1.801
569,0.123,0.706,1.105
570,0.123,0.669,1.085
571,0.124,0.669,1.085
572,0.124,0.669,1.085
573,0.124,1.684,1.476
574,0.124,0.778,1.141
575,0.124,0.599,1.046
576,0.125,1.916,1.541
577,0.125,0.738,1.121
578,0.125,0.598,1.045
579,0.125,1.040,1.257
580,0.125,0.862,1.181
581,0.126,0.798,1.151
582,0.126,2.968,1.783
583,0.126,3.496,1.883
584,0.126,1.268,1.343
585,0.127,2.197,1.613
586,0.127,0.712,1.108
587,0.127,0.894,1.195
588,0.127,1.232,1.330
589,0.127,1.018,1.248
590,0.128,0.753,1.129
591,0.128,1.052,1.262
592,0.128,0.824,1.163
593,0.128,0.878,1.188
594,0.129,0.742,1.123
595,0.129,0.377,0.897
596,0.129,0.939,1.215
597,0.129,1.156,1.302
598,0.129,2.030,1.571
599,0.130,0.770,1.137
600,0.130,0.914,1.204
601,0.130,1.760,1.498
602,0.130,1.490,1.417
603,0.130,0.557,1.021
604,0.131,0.724,1.114
605,0.131,1.544,1.434
606,0.131,3.310,1.849
607,0.131,1.980,1.558
608,0.132,0.572,1.030
609,0.132,3.151,1.819
610,0.132,0.834,1.168
611,0.132,4.139,1.992
612,0.132,1.382,1.382
613,0.133,2.894,1.768
614,0.133,0.736,1.120
615,0.133,0.417,0.927
616,0.133,1.352,1.372
617,0.133,0.811,1.157
618,0.134,1.023,1.250
619,0.134,1.708,1.483
620,0.134,2.492,1.682
621,0.134,1.018,1.248
622,0.135,1.715,1.485
623,0.135,0.546,1.014
624,0.135,1.028,1.252
625,0.135,0.594,1.043
626,0.135,0.932,1.212
627,0.136,0.647,1.073
628,0.136,0.740,1.122
629,0.136,0.967,1.227
630,0.136,1.338,1.367
631,0.137,1.424,1.396
632,0.137,0.958,1.223
633,0.137,0.665,1.083
634,0.137,0.601,1.047
635,0.137,0.790,1.147
636,0.138,1.127,1.291
637,0.138,1.174,1.309
638,0.138,1.243,1.334
639,0.138,1.842,1.521
640,0.138,1.291,1.351
641,0.139,1.623,1.458
642,0.139,2.545,1.694
643,0.139,4.316,2.020
644,0.139,1.246,1.335
645,0.140,0.805,1.154
646,0.140,1.965,1.554
647,0.140,1.957,1.552
648,0.140,0.967,1.227
649,0.140,2.145,1.600
650,0.141,1.490,1.417
651,0.141,0.624,1.060
652,0.141,0.878,1.188
653,0.141,0.697,1.100
654,0.141,1.224,1.327
655,0.142,0.598,1.045
656,0.142,0.592,1.042
657,0.142,0.650,1.075
658,0.142,0.830,1.166
659,0.142,0.494,0.981
660,0.143,0.880,1.189
661,0.143,0.807,1.155
662,0.143,0.579,1.034
663,0.143,0.951,1.220
664,0.143,1.193,1.316
665,0.144,1.349,1.371
666,0.144,1.842,1.521
667,0.144,2.777,1.744
668,0.144,1.291,1.351
669,0.144,1.817,1.514
670,0.145,0.464,0.961
671,0.145,2.664,1.720
672,0.145,0.941,1.216
673,0.145,0.841,1.171
674,0.145,1.373,1.379
675,0.146,0.830,1.166
676,0.146,0.958,1.223
677,0.146,3.304,1.848
678,0.146,0.742,1.123
679,0.147,2.874,1.764
680,0.147,0.564,1.025
681,0.147,1.037,1.256
682,0.147,1.028,1.252
683,0.147,1.121,1.289
684,0.148,0.714,1.109
