"Multisizer","2020-01-24  14:40"
"File name:","50K_M5_2020-01-24_06.#m4"
"Generation:","50K"
"Population:","M5"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2020-01-24  14:39"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","993"
"Counting threshold:","0.600"
"Counts above threshold:","993"
"Coincidence corrected:","994"

"From","0.113"
"To","22.45"
"Number ",995.0
"Mean:","1.922"
"Median:","1.953"
"D(0,0):",1.419
"Mean/Median ratio:","0.984"
"Mode:","1.949"
"95% Conf. Limits:","1.858"
"95% Conf. Limits:","1.987"
"S.D.:","1.038"
"Variance:","1.078"
"C.V.:","54.02"
"Skewness:","0.752"
"Kurtosis:","4.241"
"d10:","0.261"
"d50:","1.953"
"d90:","3.084"
"Specific Surf. Area:","37235"

"% <","Size "
10,0.261
25,1.525
50,1.953
75,2.440
90,3.084

"% >","Size "
10,3.084
25,2.440
50,1.953
75,1.525
90,0.261

"Size ","% <"
1,17.7
10,100
100,100
1000,100

"Size ","% >"
1,82.3
10,0
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,16,0.113,0.117,0.121
2,16,0.121,0.126,0.130
3,6,0.130,0.135,0.140
4,4,0.140,0.144,0.149
5,6,0.149,0.154,0.159
6,7,0.159,0.165,0.170
7,4,0.170,0.175,0.181
8,8,0.181,0.186,0.192
9,8,0.192,0.198,0.204
10,6,0.204,0.210,0.217
11,10,0.217,0.223,0.229
12,4,0.229,0.236,0.243
13,6,0.243,0.250,0.257
14,2,0.257,0.264,0.271
15,6,0.271,0.279,0.286
16,4,0.286,0.294,0.302
17,4,0.302,0.310,0.318
18,6,0.318,0.326,0.334
19,4,0.334,0.343,0.351
20,4,0.351,0.360,0.369
21,0,0.369,0.378,0.387
22,4,0.387,0.397,0.406
23,4,0.406,0.416,0.426
24,0,0.426,0.436,0.446
25,0,0.446,0.456,0.467
26,0,0.467,0.478,0.488
27,8,0.488,0.499,0.510
28,0,0.510,0.522,0.533
29,2,0.533,0.545,0.556
30,1,0.556,0.568,0.581
31,2,0.581,0.593,0.605
32,2,0.605,0.618,0.631
33,2,0.631,0.644,0.657
34,0,0.657,0.670,0.684
35,4,0.684,0.697,0.711
36,4,0.711,0.725,0.740
37,0,0.740,0.754,0.769
38,2,0.769,0.784,0.798
39,0,0.798,0.814,0.829
40,2,0.829,0.845,0.860
41,0,0.860,0.876,0.892
42,4,0.892,0.909,0.925
43,0,0.925,0.942,0.959
44,4,0.959,0.976,0.993
45,0,0.993,1.011,1.029
46,0,1.029,1.047,1.065
47,4,1.065,1.083,1.102
48,0,1.102,1.121,1.140
