"Multisizer","2020-02-14  18:38"
"File name:","50K_P6_2020-02-14_15.#m4"
"Generation:","50K"
"Population:","P6"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2020-02-14  18:37"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","959"
"Counting threshold:","0.600"
"Counts above threshold:","959"
"Coincidence corrected:","960"

"From","0.113"
"To","22.45"
"Number ",959.0
"Mean:","2.343"
"Median:","2.243"
"D(0,0):",1.403
"Mean/Median ratio:","1.045"
"Mode:","0.117"
"95% Conf. Limits:","2.234"
"95% Conf. Limits:","2.452"
"S.D.:","1.722"
"Variance:","2.965"
"C.V.:","73.49"
"Skewness:","1.151"
"Kurtosis:","3.195"
"d10:","0.148"
"d50:","2.243"
"d90:","4.099"
"Specific Surf. Area:","33879"

"% <","Size "
10,0.148
25,0.852
50,2.243
75,3.331
90,4.099

"% >","Size "
10,4.099
25,3.331
50,2.243
75,0.852
90,0.148

"Size ","% <"
1,25.2
10,99.8
100,100
1000,100

"Size ","% >"
1,74.8
10,0.21
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,46,0.113,0.117,0.121
2,35,0.121,0.126,0.130
3,8,0.130,0.135,0.140
4,15,0.140,0.144,0.149
5,14,0.149,0.154,0.159
6,3,0.159,0.165,0.170
7,12,0.170,0.175,0.181
8,12,0.181,0.186,0.192
9,13,0.192,0.198,0.204
10,4,0.204,0.210,0.217
11,4,0.217,0.223,0.229
12,9,0.229,0.236,0.243
13,6,0.243,0.250,0.257
14,6,0.257,0.264,0.271
15,4,0.271,0.279,0.286
16,4,0.286,0.294,0.302
17,8,0.302,0.310,0.318
18,4,0.318,0.326,0.334
19,0,0.334,0.343,0.351
20,2,0.351,0.360,0.369
21,2,0.369,0.378,0.387
22,8,0.387,0.397,0.406
23,2,0.406,0.416,0.426
24,0,0.426,0.436,0.446
25,2,0.446,0.456,0.467
26,2,0.467,0.478,0.488
27,2,0.488,0.499,0.510
28,0,0.510,0.522,0.533
29,3,0.533,0.545,0.556
30,2,0.556,0.568,0.581
31,2,0.581,0.593,0.605
32,2,0.605,0.618,0.631
33,0,0.631,0.644,0.657
34,0,0.657,0.670,0.684
35,0,0.684,0.697,0.711
36,2,0.711,0.725,0.740
37,2,0.740,0.754,0.769
38,0,0.769,0.784,0.798
39,0,0.798,0.814,0.829
40,0,0.829,0.845,0.860
41,2,0.860,0.876,0.892
42,0,0.892,0.909,0.925
43,0,0.925,0.942,0.959
44,0,0.959,0.976,0.993
45,0,0.993,1.011,1.029
46,0,1.029,1.047,1.065
47,0,1.065,1.083,1.102
48,0,1.102,1.121,1.140
49,0,1.140,1.159,1.178
50,2,1.178,1.198,1.218
51,2,1.218,1.238,1.258
52,0,1.258,1.279,1.300
53,0,1.300,1.321,1.342
54,0,1.342,1.363,1.385
55,0,1.385,1.407,1.429
56,2,1.429,1.452,1.474
57,0,1.474,1.497,1.520
58,4,1.520,1.543,1.567
59,0,1.567,1.591,1.614
60,5,1.614,1.639,1.663
61,10,1.663,1.688,1.713
62,6,1.713,1.738,1.764
63,15,1.764,1.789,1.815
64,18,1.815,1.842,1.868
65,15,1.868,1.895,1.922
66,44,1.922,1.949,1.976
67,27,1.976,2.004,2.032
68,16,2.032,2.060,2.089
69,34,2.089,2.118,2.147
70,27,2.147,2.176,2.206
71,22,2.206,2.236,2.265
72,23,2.265,2.296,2.327
73,13,2.327,2.358,2.389
74,23,2.389,2.420,2.452
75,18,2.452,2.484,2.516
76,13,2.516,2.549,2.582
77,21,2.582,2.615,2.648
78,8,2.648,2.682,2.716
79,16,2.716,2.750,2.785
80,7,2.785,2.820,2.855
81,10,2.855,2.890,2.926
82,11,2.926,2.962,2.998
83,8,2.998,3.035,3.071
84,19,3.071,3.109,3.146
85,12,3.146,3.184,3.222
86,19,3.222,3.261,3.299
87,23,3.299,3.338,3.377
88,12,3.377,3.417,3.457
89,23,3.457,3.497,3.538
90,16,3.538,3.579,3.620
91,15,3.620,3.661,3.703
92,15,3.703,3.745,3.788
93,18,3.788,3.831,3.873
94,13,3.873,3.917,3.961
95,16,3.961,4.005,4.049
96,9,4.049,4.094,4.139
97,14,4.139,4.184,4.230
98,4,4.230,4.276,4.322
99,5,4.322,4.369,4.416
100,6,4.416,4.463,4.511
101,6,4.511,4.559,4.607
102,8,4.607,4.656,4.705
103,4,4.705,4.755,4.804
104,1,4.804,4.854,4.905
105,4,4.905,4.956,5.007
106,0,5.007,5.058,5.110
107,0,5.110,5.162,5.215
108,2,5.215,5.268,5.321
109,4,5.321,5.375,5.428
110,0,5.428,5.483,5.537
111,0,5.537,5.593,5.648
112,2,5.648,5.704,5.760
113,2,5.760,5.816,5.873
114,0,5.873,5.931,5.988
115,0,5.988,6.046,6.104
116,0,6.104,6.163,6.222
117,0,6.222,6.282,6.342
118,4,6.342,6.402,6.462
119,0,6.462,6.524,6.585
120,0,6.585,6.647,6.709
121,2,6.709,6.772,6.834
122,0,6.834,6.898,6.961
123,0,6.961,7.026,7.090
124,0,7.090,7.155,7.220
125,0,7.220,7.286,7.352
126,2,7.352,7.419,7.485
127,0,7.485,7.553,7.620
128,2,7.620,7.689,7.757
129,0,7.757,7.826,7.895
130,0,7.895,7.965,8.035
131,0,8.035,8.106,8.176
132,0,8.176,8.248,8.319
133,0,8.319,8.392,8.464
134,2,8.464,8.537,8.611
135,1,8.611,8.685,8.759
136,0,8.759,8.834,8.909
137,0,8.909,8.984,9.060
138,6,9.060,9.137,9.213
139,0,9.213,9.291,9.368
140,0,9.368,9.447,9.525
141,4,9.525,9.604,9.683
