"Multisizer","2018-10-04  14:41"
"File name:","607__2018-10-04_151.#m4"
"Population:","607"
"Generation:",""
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-04  14:41"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","19431"
"Counting threshold:","0.600"
"Counts above threshold:","19431"
"Coincidence corrected:","20051"

"From","0.113"
"To","3054"
"Number ",19996
"Mean:","0.476"
"Median:","0.342"
"D(0,0):",0.888
"Mean/Median ratio:","1.393"
"Mode:","0.191"
"95% Conf. Limits:","0.470"
"95% Conf. Limits:","0.481"
"S.D.:","0.398"
"Variance:","0.159"
"C.V.:","83.72"
"Skewness:","2.417"
"Kurtosis:","9.969"
"d10:","0.154"
"d50:","0.342"
"d90:","0.976"
"Specific Surf. Area:","58142"

"% <","Size "
10,0.154
25,0.205
50,0.342
75,0.607
90,0.976

"% >","Size "
10,0.976
25,0.607
50,0.342
75,0.205
90,0.154

"Size ","% <"
1,90.6
10,99.99
100,100
1000,100

"Size ","% >"
1,9.39
10,0.010
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,115,0.113,0.114,0.116
2,121,0.116,0.117,0.119
3,110,0.119,0.120,0.122
4,134,0.122,0.124,0.125
5,164,0.125,0.127,0.128
6,162,0.128,0.130,0.132
7,169,0.132,0.133,0.135
8,209,0.135,0.137,0.139
9,150,0.139,0.140,0.142
10,199,0.142,0.144,0.146
11,203,0.146,0.148,0.150
12,194,0.150,0.152,0.153
13,222,0.153,0.155,0.157
14,211,0.157,0.159,0.162
15,227,0.162,0.164,0.166
16,228,0.166,0.168,0.170
17,292,0.170,0.172,0.174
18,291,0.174,0.177,0.179
19,282,0.179,0.181,0.183
20,310,0.183,0.186,0.188
21,313,0.188,0.191,0.193
22,285,0.193,0.196,0.198
23,290,0.198,0.201,0.203
24,289,0.203,0.206,0.208
25,290,0.208,0.211,0.214
26,292,0.214,0.217,0.219
27,288,0.219,0.222,0.225
28,258,0.225,0.228,0.231
29,303,0.231,0.234,0.237
30,295,0.237,0.240,0.243
31,270,0.243,0.246,0.249
32,248,0.249,0.252,0.256
33,255,0.256,0.259,0.262
34,252,0.262,0.266,0.269
35,218,0.269,0.272,0.276
36,236,0.276,0.280,0.283
37,231,0.283,0.287,0.290
