"Multisizer","2018-10-30  17:40"
"File name:","607__2018-10-30_32.#m4"
"Generation:","607"
"Population:",""
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-30  17:39"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","9736"
"Counting threshold:","0.600"
"Counts above threshold:","9736"
"Coincidence corrected:","9910"

"From","0.113"
"To","3054"
"Number ",9893
"Mean:","0.952"
"Median:","0.602"
"D(0,0):",1.055
"Mean/Median ratio:","1.581"
"Mode:","0.859"
"95% Conf. Limits:","0.930"
"95% Conf. Limits:","0.974"
"S.D.:","1.128"
"Variance:","1.273"
"C.V.:","118.5"
"Skewness:","4.534"
"Kurtosis:","36.82"
"d10:","0.184"
"d50:","0.602"
"d90:","2.088"
"Specific Surf. Area:","41520"

"% <","Size "
10,0.184
25,0.289
50,0.602
75,1.200
90,2.088

"% >","Size "
10,2.088
25,1.200
50,0.602
75,0.289
90,0.184

"Size ","% <"
1,69.1
10,99.8
100,99.99
1000,100

"Size ","% >"
1,30.9
10,0.18
100,0.010
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,27,0.113,0.114,0.116
2,18,0.116,0.117,0.119
3,29,0.119,0.120,0.122
4,42,0.122,0.124,0.125
5,38,0.125,0.127,0.128
6,41,0.128,0.130,0.132
7,36,0.132,0.133,0.135
8,62,0.135,0.137,0.139
9,38,0.139,0.140,0.142
10,45,0.142,0.144,0.146
11,65,0.146,0.148,0.150
12,60,0.150,0.152,0.153
13,62,0.153,0.155,0.157
14,75,0.157,0.159,0.162
15,81,0.162,0.164,0.166
16,55,0.166,0.168,0.170
17,60,0.170,0.172,0.174
18,75,0.174,0.177,0.179
19,52,0.179,0.181,0.183
20,99,0.183,0.186,0.188
21,70,0.188,0.191,0.193
22,85,0.193,0.196,0.198
23,88,0.198,0.201,0.203
24,74,0.203,0.206,0.208
25,106,0.208,0.211,0.214
26,79,0.214,0.217,0.219
27,95,0.219,0.222,0.225
28,92,0.225,0.228,0.231
29,76,0.231,0.234,0.237
30,88,0.237,0.240,0.243
31,76,0.243,0.246,0.249
32,87,0.249,0.252,0.256
33,80,0.256,0.259,0.262
34,87,0.262,0.266,0.269
35,66,0.269,0.272,0.276
36,83,0.276,0.280,0.283
37,98,0.283,0.287,0.290
38,84,0.290,0.294,0.298
39,87,0.298,0.302,0.306
40,93,0.306,0.310,0.314
41,75,0.314,0.318,0.322
42,79,0.322,0.326,0.330
43,76,0.330,0.334,0.338
44,58,0.338,0.343,0.347
45,93,0.347,0.352,0.356
46,84,0.356,0.361,0.365
47,89,0.365,0.370,0.375
48,79,0.375,0.380,0.384
49,87,0.384,0.389,0.394
50,84,0.394,0.399,0.405
51,75,0.405,0.410,0.415
52,87,0.415,0.420,0.426
53,81,0.426,0.431,0.437
54,98,0.437,0.442,0.448
55,84,0.448,0.454,0.460
56,80,0.460,0.466,0.472
57,78,0.472,0.478,0.484
58,96,0.484,0.490,0.496
59,88,0.496,0.503,0.509
60,83,0.509,0.516,0.522
61,95,0.522,0.529,0.536
62,90,0.536,0.543,0.550
63,91,0.550,0.557,0.564
64,101,0.564,0.571,0.578
65,104,0.578,0.586,0.593
66,101,0.593,0.601,0.609
67,88,0.609,0.616,0.624
68,88,0.624,0.632,0.640
69,88,0.640,0.649,0.657
70,92,0.657,0.665,0.674
71,92,0.674,0.683,0.691
72,96,0.691,0.700,0.709
73,88,0.709,0.718,0.728
74,97,0.728,0.737,0.746
75,90,0.746,0.756,0.766
76,86,0.766,0.775,0.785
77,98,0.785,0.796,0.806
78,108,0.806,0.816,0.827
79,89,0.827,0.837,0.848
80,116,0.848,0.859,0.870
81,93,0.870,0.881,0.892
82,108,0.892,0.904,0.915
83,99,0.915,0.927,0.939
84,89,0.939,0.951,0.963
85,97,0.963,0.976,0.988
86,83,0.988,1.001,1.014
87,88,1.014,1.027,1.040
88,69,1.040,1.053,1.067
89,96,1.067,1.080,1.094
90,74,1.094,1.108,1.123
91,87,1.123,1.137,1.152
92,73,1.152,1.166,1.181
93,78,1.181,1.197,1.212
94,95,1.212,1.227,1.243
95,98,1.243,1.259,1.275
96,71,1.275,1.292,1.308
97,79,1.308,1.325,1.342
