"Multisizer","2018-11-01  13:58"
"File name:","607__2018-11-01_84.#m4"
"Generation:","607"
"Population:",""
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-01  13:58"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","27825"
"Counting threshold:","0.600"
"Counts above threshold:","27825"
"Coincidence corrected:","28952"

"From","0.113"
"To","3054"
"Number ",28780
"Mean:","0.288"
"Median:","0.226"
"D(0,0):",0.780
"Mean/Median ratio:","1.276"
"Mode:","0.186"
"95% Conf. Limits:","0.286"
"95% Conf. Limits:","0.290"
"S.D.:","0.196"
"Variance:","0.0386"
"C.V.:","68.18"
"Skewness:","4.015"
"Kurtosis:","40.62"
"d10:","0.137"
"d50:","0.226"
"d90:","0.508"
"Specific Surf. Area:","70446"

"% <","Size "
10,0.137
25,0.168
50,0.226
75,0.344
90,0.508

"% >","Size "
10,0.508
25,0.344
50,0.226
75,0.168
90,0.137

"Size ","% <"
1,98.9
10,99.996
100,100
1000,100

"Size ","% >"
1,1.11
10,0.0044
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,270,0.113,0.114,0.116
2,332,0.116,0.117,0.119
3,337,0.119,0.120,0.122
4,376,0.122,0.124,0.125
5,379,0.125,0.127,0.128
6,427,0.128,0.130,0.132
7,437,0.132,0.133,0.135
8,457,0.135,0.137,0.139
9,480,0.139,0.140,0.142
10,563,0.142,0.144,0.146
11,513,0.146,0.148,0.150
12,563,0.150,0.152,0.153
13,561,0.153,0.155,0.157
14,572,0.157,0.159,0.162
15,567,0.162,0.164,0.166
16,588,0.166,0.168,0.170
17,643,0.170,0.172,0.174
18,586,0.174,0.177,0.179
19,655,0.179,0.181,0.183
20,669,0.183,0.186,0.188
21,656,0.188,0.191,0.193
22,636,0.193,0.196,0.198
23,628,0.198,0.201,0.203
24,626,0.203,0.206,0.208
25,597,0.208,0.211,0.214
26,610,0.214,0.217,0.219
27,586,0.219,0.222,0.225
28,593,0.225,0.228,0.231
29,558,0.231,0.234,0.237
30,551,0.237,0.240,0.243
31,496,0.243,0.246,0.249
32,487,0.249,0.252,0.256
33,492,0.256,0.259,0.262
34,452,0.262,0.266,0.269
35,474,0.269,0.272,0.276
36,425,0.276,0.280,0.283
37,391,0.283,0.287,0.290
38,383,0.290,0.294,0.298
39,378,0.298,0.302,0.306
40,358,0.306,0.310,0.314
41,337,0.314,0.318,0.322
42,335,0.322,0.326,0.330
43,350,0.330,0.334,0.338
44,324,0.338,0.343,0.347
45,329,0.347,0.352,0.356
46,334,0.356,0.361,0.365
47,356,0.365,0.370,0.375
48,333,0.375,0.380,0.384
49,315,0.384,0.389,0.394
50,311,0.394,0.399,0.405
51,289,0.405,0.410,0.415
52,262,0.415,0.420,0.426
53,292,0.426,0.431,0.437
54,253,0.437,0.442,0.448
55,261,0.448,0.454,0.460
56,229,0.460,0.466,0.472
57,248,0.472,0.478,0.484
58,226,0.484,0.490,0.496
59,190,0.496,0.503,0.509
60,190,0.509,0.516,0.522
61,177,0.522,0.529,0.536
62,167,0.536,0.543,0.550
63,158,0.550,0.557,0.564
64,146,0.564,0.571,0.578
65,138,0.578,0.586,0.593
66,120,0.593,0.601,0.609
67,120,0.609,0.616,0.624
68,138,0.624,0.632,0.640
69,117,0.640,0.649,0.657
70,103,0.657,0.665,0.674
71,97,0.674,0.683,0.691
72,97,0.691,0.700,0.709
73,93,0.709,0.718,0.728
74,69,0.728,0.737,0.746
75,81,0.746,0.756,0.766
76,86,0.766,0.775,0.785
77,67,0.785,0.796,0.806
78,68,0.806,0.816,0.827
79,53,0.827,0.837,0.848
80,36,0.848,0.859,0.870
81,44,0.870,0.881,0.892
82,45,0.892,0.904,0.915
83,35,0.915,0.927,0.939
84,32,0.939,0.951,0.963
85,34,0.963,0.976,0.988
86,32,0.988,1.001,1.014
87,31,1.014,1.027,1.040
88,27,1.040,1.053,1.067
89,28,1.067,1.080,1.094
90,32,1.094,1.108,1.123
91,12,1.123,1.137,1.152
92,13,1.152,1.166,1.181
93,12,1.181,1.197,1.212
94,12,1.212,1.227,1.243
95,14,1.243,1.259,1.275
96,12,1.275,1.292,1.308
97,10,1.308,1.325,1.342
98,15,1.342,1.359,1.377
99,10,1.377,1.394,1.412
100,4,1.412,1.430,1.449
101,3,1.449,1.467,1.486
102,3,1.486,1.505,1.525
103,4,1.525,1.544,1.564
104,6,1.564,1.584,1.605
105,5,1.605,1.625,1.646
106,6,1.646,1.667,1.689
107,4,1.689,1.710,1.732
108,1,1.732,1.754,1.777
109,5,1.777,1.800,1.823
110,5,1.823,1.846,1.870
111,2,1.870,1.894,1.918
112,1,1.918,1.943,1.968
113,1,1.968,1.993,2.019
114,2,2.019,2.045,2.071
115,0,2.071,2.097,2.124
116,2,2.124,2.152,2.179
117,0,2.179,2.207,2.236
118,2,2.236,2.264,2.293
119,2,2.293,2.323,2.353
120,1,2.353,2.383,2.413
