"Multisizer","2018-11-09  16:32"
"File name:","607__2018-11-09_133.#m4"
"Generation:","607"
"Population:",""
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-09  16:31"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","28838"
"Counting threshold:","0.600"
"Counts above threshold:","28838"
"Coincidence corrected:","30043"

"From","0.113"
"To","3054"
"Number ",29924
"Mean:","0.283"
"Median:","0.231"
"D(0,0):",0.775
"Mean/Median ratio:","1.223"
"Mode:","0.222"
"95% Conf. Limits:","0.277"
"95% Conf. Limits:","0.289"
"S.D.:","0.494"
"Variance:","0.244"
"C.V.:","174.5"
"Skewness:","42.66"
"Kurtosis:","2300"
"d10:","0.143"
"d50:","0.231"
"d90:","0.438"
"Specific Surf. Area:","69491"

"% <","Size "
10,0.143
25,0.177
50,0.231
75,0.315
90,0.438

"% >","Size "
10,0.438
25,0.315
50,0.231
75,0.177
90,0.143

"Size ","% <"
1,99.5
10,99.95
100,100
1000,100

"Size ","% >"
1,0.54
10,0.047
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,226,0.113,0.114,0.116
2,231,0.116,0.117,0.119
3,248,0.119,0.120,0.122
4,295,0.122,0.124,0.125
5,310,0.125,0.127,0.128
6,330,0.128,0.130,0.132
7,367,0.132,0.133,0.135
8,402,0.135,0.137,0.139
9,435,0.139,0.140,0.142
10,475,0.142,0.144,0.146
11,487,0.146,0.148,0.150
12,470,0.150,0.152,0.153
13,535,0.153,0.155,0.157
14,553,0.157,0.159,0.162
15,599,0.162,0.164,0.166
16,564,0.166,0.168,0.170
17,588,0.170,0.172,0.174
18,642,0.174,0.177,0.179
19,678,0.179,0.181,0.183
20,674,0.183,0.186,0.188
21,689,0.188,0.191,0.193
22,686,0.193,0.196,0.198
23,712,0.198,0.201,0.203
24,695,0.203,0.206,0.208
25,742,0.208,0.211,0.214
26,744,0.214,0.217,0.219
27,766,0.219,0.222,0.225
28,782,0.225,0.228,0.231
29,688,0.231,0.234,0.237
30,740,0.237,0.240,0.243
31,669,0.243,0.246,0.249
32,674,0.249,0.252,0.256
33,683,0.256,0.259,0.262
34,607,0.262,0.266,0.269
35,610,0.269,0.272,0.276
36,605,0.276,0.280,0.283
37,623,0.283,0.287,0.290
38,536,0.290,0.294,0.298
39,518,0.298,0.302,0.306
40,460,0.306,0.310,0.314
41,511,0.314,0.318,0.322
42,438,0.322,0.326,0.330
43,418,0.330,0.334,0.338
44,421,0.338,0.343,0.347
45,404,0.347,0.352,0.356
46,337,0.356,0.361,0.365
47,336,0.365,0.370,0.375
48,355,0.375,0.380,0.384
49,278,0.384,0.389,0.394
50,269,0.394,0.399,0.405
51,315,0.405,0.410,0.415
52,240,0.415,0.420,0.426
53,236,0.426,0.431,0.437
54,241,0.437,0.442,0.448
55,238,0.448,0.454,0.460
56,204,0.460,0.466,0.472
57,208,0.472,0.478,0.484
58,194,0.484,0.490,0.496
59,180,0.496,0.503,0.509
60,146,0.509,0.516,0.522
61,130,0.522,0.529,0.536
62,130,0.536,0.543,0.550
63,126,0.550,0.557,0.564
64,116,0.564,0.571,0.578
65,104,0.578,0.586,0.593
66,91,0.593,0.601,0.609
67,89,0.609,0.616,0.624
68,70,0.624,0.632,0.640
69,62,0.640,0.649,0.657
70,60,0.657,0.665,0.674
71,62,0.674,0.683,0.691
72,51,0.691,0.700,0.709
73,46,0.709,0.718,0.728
74,52,0.728,0.737,0.746
75,42,0.746,0.756,0.766
76,26,0.766,0.775,0.785
77,24,0.785,0.796,0.806
78,25,0.806,0.816,0.827
79,16,0.827,0.837,0.848
80,24,0.848,0.859,0.870
81,23,0.870,0.881,0.892
82,18,0.892,0.904,0.915
83,18,0.915,0.927,0.939
84,17,0.939,0.951,0.963
85,9,0.963,0.976,0.988
86,12,0.988,1.001,1.014
87,6,1.014,1.027,1.040
88,8,1.040,1.053,1.067
89,8,1.067,1.080,1.094
90,4,1.094,1.108,1.123
91,8,1.123,1.137,1.152
92,9,1.152,1.166,1.181
93,4,1.181,1.197,1.212
