"Multisizer","2018-10-30  13:28"
"File name:","10K_M1_2018-10-30_16.#m4"
"Generation:","10K"
"Population:","M1"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-30  13:28"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","18701"
"Counting threshold:","0.600"
"Counts above threshold:","18701"
"Coincidence corrected:","26221"

"From","0.113"
"To","3054"
"Number ",25833
"Mean:","0.666"
"Median:","0.452"
"D(0,0):",0.953
"Mean/Median ratio:","1.474"
"Mode:","0.114"
"95% Conf. Limits:","0.658"
"95% Conf. Limits:","0.674"
"S.D.:","0.672"
"Variance:","0.451"
"C.V.:","100.8"
"Skewness:","2.990"
"Kurtosis:","15.80"
"d10:","0.133"
"d50:","0.452"
"d90:","1.444"
"Specific Surf. Area:","47469"

"% <","Size "
10,0.133
25,0.219
50,0.452
75,0.871
90,1.444

"% >","Size "
10,1.444
25,0.871
50,0.452
75,0.219
90,0.133

"Size ","% <"
1,80.0
10,99.98
100,99.996
1000,99.996

"Size ","% >"
1,20.0
10,0.019
100,0.0039
1000,0.0039

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,554,0.113,0.114,0.116
2,509,0.116,0.117,0.119
3,387,0.119,0.120,0.122
4,416,0.122,0.124,0.125
5,326,0.125,0.127,0.128
6,309,0.128,0.130,0.132
7,270,0.132,0.133,0.135
8,291,0.135,0.137,0.139
9,228,0.139,0.140,0.142
10,267,0.142,0.144,0.146
11,216,0.146,0.148,0.150
12,184,0.150,0.152,0.153
13,235,0.153,0.155,0.157
14,203,0.157,0.159,0.162
15,197,0.162,0.164,0.166
16,156,0.166,0.168,0.170
17,193,0.170,0.172,0.174
18,198,0.174,0.177,0.179
19,178,0.179,0.181,0.183
20,147,0.183,0.186,0.188
21,198,0.188,0.191,0.193
22,164,0.193,0.196,0.198
23,151,0.198,0.201,0.203
24,199,0.203,0.206,0.208
25,164,0.208,0.211,0.214
26,167,0.214,0.217,0.219
27,165,0.219,0.222,0.225
28,135,0.225,0.228,0.231
29,163,0.231,0.234,0.237
30,181,0.237,0.240,0.243
31,167,0.243,0.246,0.249
32,173,0.249,0.252,0.256
33,170,0.256,0.259,0.262
34,172,0.262,0.266,0.269
35,227,0.269,0.272,0.276
36,196,0.276,0.280,0.283
37,207,0.283,0.287,0.290
38,242,0.290,0.294,0.298
39,228,0.298,0.302,0.306
40,222,0.306,0.310,0.314
41,224,0.314,0.318,0.322
42,240,0.322,0.326,0.330
43,242,0.330,0.334,0.338
44,251,0.338,0.343,0.347
45,259,0.347,0.352,0.356
46,213,0.356,0.361,0.365
47,258,0.365,0.370,0.375
48,272,0.375,0.380,0.384
49,288,0.384,0.389,0.394
