"Multisizer","2018-10-30  13:31"
"File name:","10K_M2_2018-10-30_17.#m4"
"Generation:","10K"
"Population:","M2"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-30  13:30"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","28120"
"Counting threshold:","0.600"
"Counts above threshold:","28120"
"Coincidence corrected:","32622"

"From","0.113"
"To","3054"
"Number ",32413
"Mean:","0.380"
"Median:","0.333"
"D(0,0):",0.861
"Mean/Median ratio:","1.141"
"Mode:","0.334"
"95% Conf. Limits:","0.377"
"95% Conf. Limits:","0.383"
"S.D.:","0.266"
"Variance:","0.0708"
"C.V.:","69.95"
"Skewness:","39.79"
"Kurtosis:","4153"
"d10:","0.172"
"d50:","0.333"
"d90:","0.631"
"Specific Surf. Area:","64663"

"% <","Size "
10,0.172
25,0.244
50,0.333
75,0.454
90,0.631

"% >","Size "
10,0.631
25,0.454
50,0.333
75,0.244
90,0.172

"Size ","% <"
1,98.1
10,99.99
100,100
1000,100

"Size ","% >"
1,1.92
10,0.0062
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,273,0.113,0.114,0.116
2,221,0.116,0.117,0.119
3,245,0.119,0.120,0.122
4,208,0.122,0.124,0.125
5,192,0.125,0.127,0.128
6,178,0.128,0.130,0.132
7,139,0.132,0.133,0.135
8,220,0.135,0.137,0.139
9,189,0.139,0.140,0.142
10,182,0.142,0.144,0.146
11,149,0.146,0.148,0.150
12,179,0.150,0.152,0.153
13,182,0.153,0.155,0.157
14,182,0.157,0.159,0.162
15,183,0.162,0.164,0.166
16,223,0.166,0.168,0.170
17,186,0.170,0.172,0.174
18,196,0.174,0.177,0.179
19,224,0.179,0.181,0.183
20,274,0.183,0.186,0.188
21,272,0.188,0.191,0.193
22,355,0.193,0.196,0.198
23,324,0.198,0.201,0.203
24,332,0.203,0.206,0.208
25,367,0.208,0.211,0.214
26,400,0.214,0.217,0.219
27,432,0.219,0.222,0.225
28,464,0.225,0.228,0.231
29,484,0.231,0.234,0.237
30,480,0.237,0.240,0.243
31,540,0.243,0.246,0.249
32,554,0.249,0.252,0.256
33,586,0.256,0.259,0.262
34,592,0.262,0.266,0.269
35,659,0.269,0.272,0.276
36,721,0.276,0.280,0.283
37,692,0.283,0.287,0.290
38,722,0.290,0.294,0.298
39,719,0.298,0.302,0.306
40,721,0.306,0.310,0.314
41,753,0.314,0.318,0.322
42,729,0.322,0.326,0.330
43,758,0.330,0.334,0.338
44,706,0.338,0.343,0.347
45,743,0.347,0.352,0.356
46,732,0.356,0.361,0.365
47,730,0.365,0.370,0.375
48,718,0.375,0.380,0.384
49,689,0.384,0.389,0.394
50,626,0.394,0.399,0.405
51,647,0.405,0.410,0.415
52,596,0.415,0.420,0.426
53,635,0.426,0.431,0.437
54,586,0.437,0.442,0.448
55,520,0.448,0.454,0.460
56,497,0.460,0.466,0.472
57,447,0.472,0.478,0.484
58,452,0.484,0.490,0.496
59,434,0.496,0.503,0.509
60,403,0.509,0.516,0.522
61,380,0.522,0.529,0.536
62,364,0.536,0.543,0.550
63,324,0.550,0.557,0.564
64,285,0.564,0.571,0.578
65,301,0.578,0.586,0.593
66,306,0.593,0.601,0.609
67,283,0.609,0.616,0.624
68,271,0.624,0.632,0.640
