"Multisizer","2019-11-21  18:42"
"File name:","10K_M3_2019-11-21_17.#m4"
"Generation:","10K"
"Population:","M3"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-21  18:41"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","27086"
"Counting threshold:","0.600"
"Counts above threshold:","27086"
"Coincidence corrected:","27576"

"From","0.113"
"To","22.45"
"Number ",27568
"Mean:","0.638"
"Median:","0.607"
"D(0,0):",1.050
"Mean/Median ratio:","1.051"
"Mode:","0.618"
"95% Conf. Limits:","0.635"
"95% Conf. Limits:","0.641"
"S.D.:","0.234"
"Variance:","0.0547"
"C.V.:","36.65"
"Skewness:","5.493"
"Kurtosis:","131.3"
"d10:","0.422"
"d50:","0.607"
"d90:","0.860"
"Specific Surf. Area:","55520"

"% <","Size "
10,0.422
25,0.501
50,0.607
75,0.727
90,0.860

"% >","Size "
10,0.860
25,0.727
50,0.607
75,0.501
90,0.422

"Size ","% <"
1,95.4
10,100
100,100
1000,100

"Size ","% >"
1,4.63
10,0.00024
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,39,0.113,0.117,0.121
2,34,0.121,0.126,0.130
3,25,0.130,0.135,0.140
4,17,0.140,0.144,0.149
5,14,0.149,0.154,0.159
6,5,0.159,0.165,0.170
7,8,0.170,0.175,0.181
8,12,0.181,0.186,0.192
9,15,0.192,0.198,0.204
10,8,0.204,0.210,0.217
11,8,0.217,0.223,0.229
12,15,0.229,0.236,0.243
13,22,0.243,0.250,0.257
14,18,0.257,0.264,0.271
15,31,0.271,0.279,0.286
16,62,0.286,0.294,0.302
17,72,0.302,0.310,0.318
18,105,0.318,0.326,0.334
19,165,0.334,0.343,0.351
20,308,0.351,0.360,0.369
21,408,0.369,0.378,0.387
22,522,0.387,0.397,0.406
23,745,0.406,0.416,0.426
24,918,0.426,0.436,0.446
25,1151,0.446,0.456,0.467
26,1239,0.467,0.478,0.488
27,1401,0.488,0.499,0.510
28,1493,0.510,0.522,0.533
29,1566,0.533,0.545,0.556
30,1600,0.556,0.568,0.581
31,1595,0.581,0.593,0.605
32,1699,0.605,0.618,0.631
33,1584,0.631,0.644,0.657
34,1665,0.657,0.670,0.684
35,1636,0.684,0.697,0.711
36,1343,0.711,0.725,0.740
37,1148,0.740,0.754,0.769
38,931,0.769,0.784,0.798
39,769,0.798,0.814,0.829
40,614,0.829,0.845,0.860
41,407,0.860,0.876,0.892
42,347,0.892,0.909,0.925
43,260,0.925,0.942,0.959
44,239,0.959,0.976,0.993
45,188,0.993,1.011,1.029
46,132,1.029,1.047,1.065
