"Multisizer","2018-11-01  13:20"
"File name:","10K_P1_2018-11-01_69.#m4"
"Generation:","10K"
"Population:","P1"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-01  13:19"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","251000"
"Counting threshold:","0.600"
"Counts above threshold:","242232"
"Coincidence corrected:","251927"

"From","0.113"
"To","3054"
"Number ",249.5e3
"Mean:","11.89"
"Median:","0.593"
"D(0,0):",1.114
"Mean/Median ratio:","20.03"
"Mode:","0.601"
"95% Conf. Limits:","11.41"
"95% Conf. Limits:","12.36"
"S.D.:","121.7"
"Variance:","14805"
"C.V.:","1024"
"Skewness:","14.48"
"Kurtosis:","235.0"
"d10:","0.354"
"d50:","0.593"
"d90:","1.768"
"Specific Surf. Area:","8060"

"% <","Size "
10,0.354
25,0.463
50,0.593
75,0.760
90,1.768

"% >","Size "
10,1.768
25,0.760
50,0.593
75,0.463
90,0.354

"Size ","% <"
1,86.0
10,97.2
100,98.7
1000,99.6

"Size ","% >"
1,14.0
10,2.78
100,1.34
1000,0.36

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,259,0.113,0.114,0.116
2,204,0.116,0.117,0.119
3,147,0.119,0.120,0.122
4,126,0.122,0.124,0.125
5,255,0.125,0.127,0.128
6,200,0.128,0.130,0.132
7,173,0.132,0.133,0.135
8,140,0.135,0.137,0.139
9,228,0.139,0.140,0.142
10,166,0.142,0.144,0.146
11,121,0.146,0.148,0.150
12,177,0.150,0.152,0.153
13,168,0.153,0.155,0.157
14,140,0.157,0.159,0.162
15,271,0.162,0.164,0.166
16,320,0.166,0.168,0.170
17,201,0.170,0.172,0.174
18,251,0.174,0.177,0.179
19,278,0.179,0.181,0.183
20,207,0.183,0.186,0.188
21,283,0.188,0.191,0.193
22,263,0.193,0.196,0.198
23,244,0.198,0.201,0.203
24,295,0.203,0.206,0.208
25,258,0.208,0.211,0.214
26,474,0.214,0.217,0.219
27,442,0.219,0.222,0.225
28,418,0.225,0.228,0.231
29,476,0.231,0.234,0.237
30,442,0.237,0.240,0.243
31,553,0.243,0.246,0.249
32,517,0.249,0.252,0.256
33,564,0.256,0.259,0.262
34,595,0.262,0.266,0.269
35,882,0.269,0.272,0.276
36,758,0.276,0.280,0.283
37,955,0.283,0.287,0.290
38,1000,0.290,0.294,0.298
39,1064,0.298,0.302,0.306
40,1168,0.306,0.310,0.314
41,1243,0.314,0.318,0.322
42,2100,0.322,0.326,0.330
43,1917,0.330,0.334,0.338
44,2054,0.338,0.343,0.347
45,2362,0.347,0.352,0.356
46,2254,0.356,0.361,0.365
47,2535,0.365,0.370,0.375
48,2967,0.375,0.380,0.384
49,3096,0.384,0.389,0.394
50,3233,0.394,0.399,0.405
51,3507,0.405,0.410,0.415
52,3853,0.415,0.420,0.426
53,4313,0.426,0.431,0.437
54,4485,0.437,0.442,0.448
55,4831,0.448,0.454,0.460
56,5155,0.460,0.466,0.472
57,5500,0.472,0.478,0.484
58,5909,0.484,0.490,0.496
59,6195,0.496,0.503,0.509
60,6225,0.509,0.516,0.522
61,6797,0.522,0.529,0.536
62,6982,0.536,0.543,0.550
63,7108,0.550,0.557,0.564
64,7094,0.564,0.571,0.578
65,7243,0.578,0.586,0.593
66,7426,0.593,0.601,0.609
67,7164,0.609,0.616,0.624
68,7197,0.624,0.632,0.640
69,7094,0.640,0.649,0.657
70,6656,0.657,0.665,0.674
71,6374,0.674,0.683,0.691
72,5998,0.691,0.700,0.709
73,5593,0.709,0.718,0.728
74,5542,0.728,0.737,0.746
75,5660,0.746,0.756,0.766
76,4835,0.766,0.775,0.785
77,4261,0.785,0.796,0.806
78,3472,0.806,0.816,0.827
79,2780,0.827,0.837,0.848
80,2584,0.848,0.859,0.870
81,1986,0.870,0.881,0.892
82,1626,0.892,0.904,0.915
83,1183,0.915,0.927,0.939
84,1148,0.939,0.951,0.963
85,975,0.963,0.976,0.988
86,675,0.988,1.001,1.014
87,541,1.014,1.027,1.040
88,406,1.040,1.053,1.067
89,338,1.067,1.080,1.094
90,295,1.094,1.108,1.123
91,231,1.123,1.137,1.152
92,574,1.152,1.166,1.181
93,387,1.181,1.197,1.212
94,446,1.212,1.227,1.243
95,316,1.243,1.259,1.275
96,246,1.275,1.292,1.308
97,225,1.308,1.325,1.342
98,295,1.342,1.359,1.377
99,367,1.377,1.394,1.412
100,296,1.412,1.430,1.449
101,207,1.449,1.467,1.486
102,171,1.486,1.505,1.525
103,180,1.525,1.544,1.564
104,1187,1.564,1.584,1.605
105,1113,1.605,1.625,1.646
106,744,1.646,1.667,1.689
107,715,1.689,1.710,1.732
108,557,1.732,1.754,1.777
109,771,1.777,1.800,1.823
110,508,1.823,1.846,1.870
111,390,1.870,1.894,1.918
112,323,1.918,1.943,1.968
113,555,1.968,1.993,2.019
114,650,2.019,2.045,2.071
115,414,2.071,2.097,2.124
116,366,2.124,2.152,2.179
117,395,2.179,2.207,2.236
118,424,2.236,2.264,2.293
119,321,2.293,2.323,2.353
120,227,2.353,2.383,2.413
121,986,2.413,2.444,2.476
122,695,2.476,2.507,2.540
123,413,2.540,2.572,2.605
124,487,2.605,2.639,2.673
125,355,2.673,2.707,2.742
126,233,2.742,2.777,2.812
127,395,2.812,2.849,2.885
128,319,2.885,2.922,2.960
129,207,2.960,2.998,3.036
130,273,3.036,3.075,3.115
131,212,3.115,3.155,3.195
132,634,3.195,3.236,3.278
133,1320,3.278,3.320,3.362
134,750,3.362,3.406,3.449
135,620,3.449,3.494,3.538
136,341,3.538,3.584,3.630
137,386,3.630,3.676,3.724
138,361,3.724,3.771,3.820
139,228,3.820,3.869,3.919
140,215,3.919,3.969,4.020
141,287,4.020,4.071,4.124
142,363,4.124,4.177,4.230
143,215,4.230,4.285,4.340
144,142,4.340,4.395,4.452
145,150,4.452,4.509,4.567
146,93,4.567,4.625,4.685
147,94,4.685,4.745,4.806
148,65,4.806,4.867,4.930
149,149,4.930,4.993,5.057
150,93,5.057,5.122,5.188
151,72,5.188,5.255,5.322
152,76,5.322,5.390,5.460
153,56,5.460,5.530,5.601
154,71,5.601,5.673,5.745
155,51,5.745,5.819,5.894
156,38,5.894,5.969,6.046
157,47,6.046,6.124,6.202
158,39,6.202,6.282,6.363
159,47,6.363,6.444,6.527
160,34,6.527,6.611,6.696
161,12,6.696,6.782,6.869
162,28,6.869,6.957,7.046
163,42,7.046,7.137,7.228
164,58,7.228,7.321,7.415
165,44,7.415,7.510,7.607
166,64,7.607,7.704,7.803
167,72,7.803,7.903,8.005
168,88,8.005,8.108,8.212
169,88,8.212,8.317,8.424
170,39,8.424,8.532,8.641
171,59,8.641,8.752,8.865
172,86,8.865,8.979,9.094
173,63,9.094,9.211,9.329
174,59,9.329,9.449,9.570
175,80,9.570,9.693,9.817
176,84,9.817,9.943,10.07
177,18,10.07,10.20,10.33
178,18,10.33,10.46,10.60
179,27,10.60,10.73,10.87
180,15,10.87,11.01,11.15
181,27,11.15,11.30,11.44
182,27,11.44,11.59,11.74
183,19,11.74,11.89,12.04
184,36,12.04,12.19,12.35
185,35,12.35,12.51,12.67
186,31,12.67,12.83,13.00
187,37,13.00,13.16,13.33
188,14,13.33,13.50,13.68
189,45,13.68,13.85,14.03
190,61,14.03,14.21,14.39
191,48,14.39,14.58,14.77
192,85,14.77,14.96,15.15
193,49,15.15,15.34,15.54
194,91,15.54,15.74,15.94
195,66,15.94,16.14,16.35
196,64,16.35,16.56,16.77
197,14,16.77,16.99,17.21
198,21,17.21,17.43,17.65
199,15,17.65,17.88,18.11
200,23,18.11,18.34,18.58
201,20,18.58,18.82,19.06
202,30,19.06,19.30,19.55
203,31,19.55,19.80,20.05
204,9,20.05,20.31,20.57
205,21,20.57,20.84,21.10
206,28,21.10,21.38,21.65
207,27,21.65,21.93,22.21
208,29,22.21,22.49,22.78
209,34,22.78,23.08,23.37
210,13,23.37,23.67,23.98
211,5,23.98,24.28,24.60
212,12,24.60,24.91,25.23
213,14,25.23,25.55,25.88
214,21,25.88,26.21,26.55
215,45,26.55,26.89,27.24
216,148,27.24,27.59,27.94
217,171,27.94,28.30,28.66
218,226,28.66,29.03,29.40
219,183,29.40,29.78,30.16
220,48,30.16,30.55,30.94
221,48,30.94,31.34,31.74
222,64,31.74,32.15,32.56
223,54,32.56,32.98,33.40
224,48,33.40,33.83,34.27
225,126,34.27,34.71,35.15
226,85,35.15,35.60,36.06
227,87,36.06,36.52,36.99
228,21,36.99,37.47,37.95
