"Multisizer","2018-11-08  17:38"
"File name:","1OK_P1_2018-11-08_93.#m4"
"Generation:","1OK"
"Population:","P1"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-08  17:38"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","25500"
"Counting threshold:","0.600"
"Counts above threshold:","25500"
"Coincidence corrected:","37403"

"From","0.113"
"To","3054"
"Number ",36852
"Mean:","0.383"
"Median:","0.318"
"D(0,0):",0.844
"Mean/Median ratio:","1.205"
"Mode:","0.114"
"95% Conf. Limits:","0.380"
"95% Conf. Limits:","0.386"
"S.D.:","0.269"
"Variance:","0.0722"
"C.V.:","70.12"
"Skewness:","2.189"
"Kurtosis:","7.835"
"d10:","0.132"
"d50:","0.318"
"d90:","0.711"
"Specific Surf. Area:","63569"

"% <","Size "
10,0.132
25,0.195
50,0.318
75,0.473
90,0.711

"% >","Size "
10,0.711
25,0.473
50,0.318
75,0.195
90,0.132

"Size ","% <"
1,96.2
10,99.997
100,100
1000,100

"Size ","% >"
1,3.79
10,0.0027
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,837,0.113,0.114,0.116
2,609,0.116,0.117,0.119
3,655,0.119,0.120,0.122
4,624,0.122,0.124,0.125
5,498,0.125,0.127,0.128
6,475,0.128,0.130,0.132
7,498,0.132,0.133,0.135
8,393,0.135,0.137,0.139
9,374,0.139,0.140,0.142
10,335,0.142,0.144,0.146
11,310,0.146,0.148,0.150
12,360,0.150,0.152,0.153
13,298,0.153,0.155,0.157
14,332,0.157,0.159,0.162
15,385,0.162,0.164,0.166
16,307,0.166,0.168,0.170
17,354,0.170,0.172,0.174
18,321,0.174,0.177,0.179
19,352,0.179,0.181,0.183
20,373,0.183,0.186,0.188
21,355,0.188,0.191,0.193
22,400,0.193,0.196,0.198
23,395,0.198,0.201,0.203
24,392,0.203,0.206,0.208
25,437,0.208,0.211,0.214
26,379,0.214,0.217,0.219
27,423,0.219,0.222,0.225
28,441,0.225,0.228,0.231
29,494,0.231,0.234,0.237
30,459,0.237,0.240,0.243
31,485,0.243,0.246,0.249
32,496,0.249,0.252,0.256
33,474,0.256,0.259,0.262
34,483,0.262,0.266,0.269
35,506,0.269,0.272,0.276
36,530,0.276,0.280,0.283
37,572,0.283,0.287,0.290
38,592,0.290,0.294,0.298
39,561,0.298,0.302,0.306
40,530,0.306,0.310,0.314
41,604,0.314,0.318,0.322
42,578,0.322,0.326,0.330
43,598,0.330,0.334,0.338
44,596,0.338,0.343,0.347
45,580,0.347,0.352,0.356
