"Multisizer","2018-11-08  17:47"
"File name:","1OK_P6_2018-11-08_98.#m4"
"Generation:","1OK"
"Population:","P6"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-08  17:47"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","17391"
"Counting threshold:","0.600"
"Counts above threshold:","17391"
"Coincidence corrected:","19640"

"From","0.113"
"To","3054"
"Number ",19567
"Mean:","0.567"
"Median:","0.510"
"D(0,0):",0.992
"Mean/Median ratio:","1.113"
"Mode:","0.503"
"95% Conf. Limits:","0.563"
"95% Conf. Limits:","0.571"
"S.D.:","0.271"
"Variance:","0.0734"
"C.V.:","47.77"
"Skewness:","1.829"
"Kurtosis:","7.456"
"d10:","0.310"
"d50:","0.510"
"d90:","0.907"
"Specific Surf. Area:","57137"

"% <","Size "
10,0.310
25,0.392
50,0.510
75,0.680
90,0.907

"% >","Size "
10,0.907
25,0.680
50,0.510
75,0.392
90,0.310

"Size ","% <"
1,93.2
10,100
100,100
1000,100

"Size ","% >"
1,6.76
10,0
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,79,0.113,0.114,0.116
2,86,0.116,0.117,0.119
3,66,0.119,0.120,0.122
4,42,0.122,0.124,0.125
5,34,0.125,0.127,0.128
6,46,0.128,0.130,0.132
7,39,0.132,0.133,0.135
8,27,0.135,0.137,0.139
9,28,0.139,0.140,0.142
10,18,0.142,0.144,0.146
11,14,0.146,0.148,0.150
12,14,0.150,0.152,0.153
13,15,0.153,0.155,0.157
14,11,0.157,0.159,0.162
15,16,0.162,0.164,0.166
16,6,0.166,0.168,0.170
17,9,0.170,0.172,0.174
18,14,0.174,0.177,0.179
19,19,0.179,0.181,0.183
20,18,0.183,0.186,0.188
21,17,0.188,0.191,0.193
22,16,0.193,0.196,0.198
23,19,0.198,0.201,0.203
24,28,0.203,0.206,0.208
25,24,0.208,0.211,0.214
26,31,0.214,0.217,0.219
27,44,0.219,0.222,0.225
28,37,0.225,0.228,0.231
29,52,0.231,0.234,0.237
30,51,0.237,0.240,0.243
31,69,0.243,0.246,0.249
32,76,0.249,0.252,0.256
33,62,0.256,0.259,0.262
34,111,0.262,0.266,0.269
35,88,0.269,0.272,0.276
36,96,0.276,0.280,0.283
37,140,0.283,0.287,0.290
38,136,0.290,0.294,0.298
39,142,0.298,0.302,0.306
40,173,0.306,0.310,0.314
41,214,0.314,0.318,0.322
42,268,0.322,0.326,0.330
43,312,0.330,0.334,0.338
44,313,0.338,0.343,0.347
45,298,0.347,0.352,0.356
46,378,0.356,0.361,0.365
47,364,0.365,0.370,0.375
48,383,0.375,0.380,0.384
49,440,0.384,0.389,0.394
50,435,0.394,0.399,0.405
51,467,0.405,0.410,0.415
52,438,0.415,0.420,0.426
53,495,0.426,0.431,0.437
54,486,0.437,0.442,0.448
55,489,0.448,0.454,0.460
56,496,0.460,0.466,0.472
57,472,0.472,0.478,0.484
58,474,0.484,0.490,0.496
59,534,0.496,0.503,0.509
60,524,0.509,0.516,0.522
61,486,0.522,0.529,0.536
62,490,0.536,0.543,0.550
63,451,0.550,0.557,0.564
64,435,0.564,0.571,0.578
65,427,0.578,0.586,0.593
66,438,0.593,0.601,0.609
67,405,0.609,0.616,0.624
68,410,0.624,0.632,0.640
69,371,0.640,0.649,0.657
70,397,0.657,0.665,0.674
71,328,0.674,0.683,0.691
72,341,0.691,0.700,0.709
73,305,0.709,0.718,0.728
74,254,0.728,0.737,0.746
75,289,0.746,0.756,0.766
76,240,0.766,0.775,0.785
77,256,0.785,0.796,0.806
78,222,0.806,0.816,0.827
79,251,0.827,0.837,0.848
80,224,0.848,0.859,0.870
81,201,0.870,0.881,0.892
82,198,0.892,0.904,0.915
83,177,0.915,0.927,0.939
84,168,0.939,0.951,0.963
85,134,0.963,0.976,0.988
86,137,0.988,1.001,1.014
87,115,1.014,1.027,1.040
88,127,1.040,1.053,1.067
89,118,1.067,1.080,1.094
90,114,1.094,1.108,1.123
91,87,1.123,1.137,1.152
92,78,1.152,1.166,1.181
93,82,1.181,1.197,1.212
94,46,1.212,1.227,1.243
95,58,1.243,1.259,1.275
96,61,1.275,1.292,1.308
97,40,1.308,1.325,1.342
98,43,1.342,1.359,1.377
