CellID,LongAxis,ShortAxis,Area,RegionScore,XPosition,YPosition,Fluor1Sum,Fluor1Mean,Fluor1Background,Fluor1BgStd,Fluor1FociNumber,Fluor2Sum,Fluor2Mean,Fluor2Background,Fluor2BgStd,Fluor2FociNumber,Fluor3Sum,Fluor3Mean,Fluor3Background,Fluor3BgStd,Fluor3FociNumber,MeshArea,MeshSolidity,MeshAxisLength,MeshRibsLengthMax,MeshRibsLengthMean,MeshRibsLengthStd,MeshCurvatureMax,MeshCurvatureMean,MeshCurvatureInflection,MeshSinuosity,MeshVolume,NumOfNeighbors,RegionGrayVal,TimeFrames,AgeFrames,RelativeAge,xyFolder,DateTime,Folder,StageXposition,StageYposition,StageZposition,PhaseConfig,Fluo1Config,Fluo2Config,Fluo3Config
1,31,12.0062900005992,373,47.9206005046979,34.7587131367292,1965.32171581769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327.212557434165,0.984956007396609,30.080385585399,12.7026474888978,10.389648466056,3.11348643450022,0.060534441937078,0.00291782913774028,0,1.00021587909779,2550.20437939568,0,18163.2278820375,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
2,45,10.46740381246,471,49.6840071661203,158.874734607219,138.471337579618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443.798048493345,0.948372286915889,44.4758397467623,11.3007610637808,9.74512659442329,2.19524796962543,0.00714915885732099,0.00287435223941259,2,1.00032440387124,3317.33253808394,0,18733.8152866242,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
3,40,12.1517632594694,486,49.5732044608584,258.111111111111,1835.7633744856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418.342841712781,0.957094642126798,39.5417120830184,12.1954840731414,10.3403668568155,2.41876890149703,0.0132172215160392,0.00723504766064931,1,1.00300310874359,3320.60520920703,0,17814.329218107,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
4,35,11.9758832642987,420,48.8282475697055,257.640476190476,1285.07857142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380.359489376483,0.961903784684282,35.4263759698826,12.5065090439854,10.4379185109948,2.61035906135914,0.0199735459170399,0.00837216121397627,1,1.00502519780827,3031.40814174281,0,17483.2619047619,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
5,32,11.4686458473765,367,48.2110353811509,317.858310626703,1631.57765667575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,331.544934458509,0.976729757038813,31.5130211176069,12.4134084501308,10.2234639057611,2.76604867770642,0.0167792955196284,0.00769409124311313,1,1.00278028454221,2586.87865839608,0,17831.553133515,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
6,45,11.544837645347,520,48.6010285884246,533.625,491.521153846154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,468.303743985762,0.899173560464521,45.7530147771278,11.8693714418758,10.0714026192214,2.1330939034303,0.0225771875667631,0.00920856355395052,1,1.00921501105943,3644.93269385344,0,18429.0576923077,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
7,41,11.6248904668884,478,48.7253357675166,543.675732217573,860.951882845188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,448.008357078235,0.94096387844561,42.4252314469069,11.797196711186,10.3061029742357,2.35072446389538,0.0195615859895545,0.00891165430037639,1,1.00639367800546,3539.18330369502,0,17857.6066945607,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
8,27,10.7944314885063,292,46.2847531746294,701.33904109589,606.852739726027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278.054917037537,0.989023258668347,26.7712274079356,11.8376896288232,9.94398791741343,3.08376122484567,0.099015623849556,0.008049150324516,1,1.00205593064015,2079.11896746426,0,18090.9417808219,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
9,21,11.5959163285214,244,-14.3924250197616,794.950819672131,551.319672131148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.628129508962,0.999805887612098,20.94404933552,13.4561195894418,10.6944247095315,3.62604510776077,0.0103882453362187,0.00492568102204232,1,1.00074626496637,1881.33176459673,0,17035.881147541,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
10,28,11.838067287471,341,35.9806056877855,951.527859237537,1205.65982404692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315.71654097591,0.988708714643956,29.1248763714361,12.3584679641567,10.522079107601,2.94611769721019,0.00786276142600786,0.00318508851561304,0,1.00057805471183,2532.54456959599,0,17155.9794721408,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
11,27,11.7368368741948,317,48.0907203138032,1240.84858044164,1405.45741324921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284.072640263182,0.994305105069136,25.3577469243721,12.7818589227302,10.9116758373902,3.0483079701208,0.00863155704548251,0.00467921136812617,0,1.00095953496083,2371.28337030943,0,18238.8895899054,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
12,21,10.6231288100917,224,16.0827097912276,1379.13839285714,1214.34821428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213.975442137962,0.999663871917956,21.0652034318804,12.176476424106,9.49873002718807,3.49956205050084,0.036944275460245,0.00135011163983882,1,1.00000712450445,1492.7484455567,0,19228.1160714286,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
13,24,11.4973732845945,276,32.4915037500827,1609.26811594203,889.880434782609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254.217109026364,0.999399100847099,23.3633782122381,12.8600297191903,10.5836612349465,3.20557311633019,0.00760012121204997,0.00321410458627821,1,1.00034578149652,2055.40487198852,0,18045.5942028986,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
14,22,11.0907374785959,244,31.6544456477781,1618.8893442623,1776.30737704918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227.264813540431,0.998468107969564,22.2090979969608,12.2864846079867,9.88529031923829,3.08151711939563,0.0097655155609256,0.00517282744703334,1,1.00089399211937,1704.51041366151,0,20321.1557377049,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
15,23,11.3318143340885,261,29.504822577113,1685.35249042146,1129.01915708812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236.676991289931,0.997627327746344,22.3782012560169,12.2722337768034,10.0738561392816,3.33367522638392,0.00910327585848319,0.00327410559776282,1,1.00034608919368,1783.63729983038,0,19277.8007662835,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
16,28,10.8285646371987,303,45.5787032768538,1814.61056105611,380.920792079208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,298.71619235255,0.97752790733498,28.3995075359256,12.4913260032149,10.1153447623562,2.96233881613362,0.00760279400161901,0.00290921789560628,1,1.00028265139059,2282.24397630038,0,18728.0231023102,1,1,1,5,2018-10-04T17:03:59.107,20181004_ecoli_ARA_M5_10K,500,-866,164.65,DIA_100X_EMPTY_1x1_200ms,,,
1,19,10.3609475594342,198,-49.6432800828898,8.37878787878788,603.00505050505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17919.9747474747,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
2,29,11.7525222527693,341,48.1492948190299,23.9442815249267,1817.36363636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.717588080159,0.980664566374343,27.888992369365,12.3719909896408,10.4397936232543,2.86205323087354,0.0177267865306709,0.00812241452243632,1,1.00104262926448,2387.29743724478,0,17911.7917888563,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
3,43,10.7134781951673,461,48.9457104298634,77.3731019522777,1809.70715835141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423.582656932233,0.907106161770091,43.6109157879393,11.2350352117181,9.5237544551274,2.12490332522104,0.0152535955952906,0.00881936489930533,0,1.01031106459543,3106.71537970262,0,18483.2993492408,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
4,26,10.8645007582376,283,43.9166037259063,102.127208480565,1265.73851590106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,265.955977751605,0.986843827485968,26.0881129344083,11.7685991818451,9.85961716967493,2.77732838438966,0.00901011388779712,0.00426095984802731,1,1.00085505761482,1991.83175591964,0,18477.6148409894,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
5,32,11.0479993666825,354,48.8133296413612,152.098870056497,234.895480225989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,317.761164610646,0.976572852191252,31.2625358430667,11.6092628099683,9.92987888153155,2.50630835107476,0.00756692042015105,0.00395435037966241,1,1.00104769450699,2421.04012120394,0,18297.4689265537,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
6,23,10.9506090695163,252,41.3317616871201,168.18253968254,693.956349206349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232.555515585002,0.999601605365539,22.1922789406885,12.4417519347737,10.1182203663282,3.20953357899987,0.0057100308796483,0.00307632003165516,0,1.00032117079072,1784.43219965598,0,18250.0595238095,1,1,1,6,2018-10-04T17:04:01.534,20181004_ecoli_ARA_M5_10K,1000,-0,164.65,DIA_100X_EMPTY_1x1_200ms,,,
