"Multisizer","2018-10-31  11:55"
"File name:","2K_M1_2018-10-31_35.#m4"
"Generation:","2K"
"Population:","M1"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-31  11:55"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","24405"
"Counting threshold:","0.600"
"Counts above threshold:","24405"
"Coincidence corrected:","25353"

"From","0.113"
"To","3054"
"Number ",25350
"Mean:","0.466"
"Median:","0.387"
"D(0,0):",0.922
"Mean/Median ratio:","1.202"
"Mode:","0.343"
"95% Conf. Limits:","0.462"
"95% Conf. Limits:","0.469"
"S.D.:","0.273"
"Variance:","0.0744"
"C.V.:","58.59"
"Skewness:","2.484"
"Kurtosis:","10.52"
"d10:","0.232"
"d50:","0.387"
"d90:","0.803"
"Specific Surf. Area:","60510"

"% <","Size "
10,0.232
25,0.292
50,0.387
75,0.547
90,0.803

"% >","Size "
10,0.803
25,0.547
50,0.387
75,0.292
90,0.232

"Size ","% <"
1,95.2
10,100
100,100
1000,100

"Size ","% >"
1,4.81
10,0
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,7,0.113,0.114,0.116
2,5,0.116,0.117,0.119
3,3,0.119,0.120,0.122
4,8,0.122,0.124,0.125
5,13,0.125,0.127,0.128
6,11,0.128,0.130,0.132
7,7,0.132,0.133,0.135
8,12,0.135,0.137,0.139
9,19,0.139,0.140,0.142
10,34,0.142,0.144,0.146
11,36,0.146,0.148,0.150
12,19,0.150,0.152,0.153
13,27,0.153,0.155,0.157
14,43,0.157,0.159,0.162
15,58,0.162,0.164,0.166
16,66,0.166,0.168,0.170
17,54,0.170,0.172,0.174
18,96,0.174,0.177,0.179
19,109,0.179,0.181,0.183
20,99,0.183,0.186,0.188
21,126,0.188,0.191,0.193
22,161,0.193,0.196,0.198
23,172,0.198,0.201,0.203
24,179,0.203,0.206,0.208
25,208,0.208,0.211,0.214
26,235,0.214,0.217,0.219
27,318,0.219,0.222,0.225
28,318,0.225,0.228,0.231
29,308,0.231,0.234,0.237
30,343,0.237,0.240,0.243
31,359,0.243,0.246,0.249
32,413,0.249,0.252,0.256
33,419,0.256,0.259,0.262
34,433,0.262,0.266,0.269
35,465,0.269,0.272,0.276
36,512,0.276,0.280,0.283
37,528,0.283,0.287,0.290
38,515,0.290,0.294,0.298
39,572,0.298,0.302,0.306
40,549,0.306,0.310,0.314
41,584,0.314,0.318,0.322
42,557,0.322,0.326,0.330
43,612,0.330,0.334,0.338
44,588,0.338,0.343,0.347
45,558,0.347,0.352,0.356
46,586,0.356,0.361,0.365
47,589,0.365,0.370,0.375
48,565,0.375,0.380,0.384
49,596,0.384,0.389,0.394
50,561,0.394,0.399,0.405
51,574,0.405,0.410,0.415
52,565,0.415,0.420,0.426
53,528,0.426,0.431,0.437
54,532,0.437,0.442,0.448
55,482,0.448,0.454,0.460
56,481,0.460,0.466,0.472
57,455,0.472,0.478,0.484
58,446,0.484,0.490,0.496
59,356,0.496,0.503,0.509
60,370,0.509,0.516,0.522
61,345,0.522,0.529,0.536
62,314,0.536,0.543,0.550
63,284,0.550,0.557,0.564
64,305,0.564,0.571,0.578
65,298,0.578,0.586,0.593
66,264,0.593,0.601,0.609
67,270,0.609,0.616,0.624
68,248,0.624,0.632,0.640
69,227,0.640,0.649,0.657
70,247,0.657,0.665,0.674
71,246,0.674,0.683,0.691
72,251,0.691,0.700,0.709
73,230,0.709,0.718,0.728
74,219,0.728,0.737,0.746
75,233,0.746,0.756,0.766
76,229,0.766,0.775,0.785
77,188,0.785,0.796,0.806
78,206,0.806,0.816,0.827
79,181,0.827,0.837,0.848
