"Multisizer","2018-10-30  13:20"
"File name:","2K_M3_2018-10-30_12.#m4"
"Generation:","2K"
"Population:","M3"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-30  13:20"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","15857"
"Counting threshold:","0.600"
"Counts above threshold:","15857"
"Coincidence corrected:","37987"

"From","0.113"
"To","3054"
"Number ",26838
"Mean:","1.182"
"Median:","0.761"
"D(0,0):",1.112
"Mean/Median ratio:","1.553"
"Mode:","0.114"
"95% Conf. Limits:","1.167"
"95% Conf. Limits:","1.198"
"S.D.:","1.303"
"Variance:","1.698"
"C.V.:","110.2"
"Skewness:","3.442"
"Kurtosis:","21.62"
"d10:","0.142"
"d50:","0.761"
"d90:","2.546"
"Specific Surf. Area:","41117"

"% <","Size "
10,0.142
25,0.356
50,0.761
75,1.652
90,2.546

"% >","Size "
10,2.546
25,1.652
50,0.761
75,0.356
90,0.142

"Size ","% <"
1,59.4
10,99.7
100,99.996
1000,100

"Size ","% >"
1,40.6
10,0.25
100,0.0037
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,520,0.113,0.114,0.116
2,339,0.116,0.117,0.119
3,392,0.119,0.120,0.122
4,310,0.122,0.124,0.125
5,262,0.125,0.127,0.128
6,271,0.128,0.130,0.132
7,217,0.132,0.133,0.135
8,203,0.135,0.137,0.139
9,233,0.139,0.140,0.142
10,190,0.142,0.144,0.146
11,108,0.146,0.148,0.150
12,165,0.150,0.152,0.153
13,155,0.153,0.155,0.157
14,110,0.157,0.159,0.162
15,151,0.162,0.164,0.166
16,168,0.166,0.168,0.170
17,136,0.170,0.172,0.174
18,140,0.174,0.177,0.179
19,126,0.179,0.181,0.183
20,143,0.183,0.186,0.188
21,150,0.188,0.191,0.193
22,149,0.193,0.196,0.198
23,140,0.198,0.201,0.203
24,126,0.203,0.206,0.208
25,97,0.208,0.211,0.214
26,112,0.214,0.217,0.219
27,101,0.219,0.222,0.225
28,98,0.225,0.228,0.231
29,135,0.231,0.234,0.237
30,110,0.237,0.240,0.243
31,92,0.243,0.246,0.249
32,51,0.249,0.252,0.256
33,110,0.256,0.259,0.262
34,73,0.262,0.266,0.269
35,42,0.269,0.272,0.276
36,100,0.276,0.280,0.283
37,75,0.283,0.287,0.290
38,71,0.290,0.294,0.298
39,90,0.298,0.302,0.306
40,51,0.306,0.310,0.314
41,68,0.314,0.318,0.322
42,83,0.322,0.326,0.330
43,90,0.330,0.334,0.338
44,63,0.338,0.343,0.347
45,90,0.347,0.352,0.356
46,96,0.356,0.361,0.365
47,116,0.365,0.370,0.375
48,108,0.375,0.380,0.384
49,104,0.384,0.389,0.394
50,181,0.394,0.399,0.405
51,168,0.405,0.410,0.415
52,164,0.415,0.420,0.426
53,189,0.426,0.431,0.437
54,188,0.437,0.442,0.448
55,230,0.448,0.454,0.460
56,240,0.460,0.466,0.472
57,272,0.472,0.478,0.484
58,300,0.484,0.490,0.496
59,298,0.496,0.503,0.509
60,268,0.509,0.516,0.522
61,289,0.522,0.529,0.536
62,289,0.536,0.543,0.550
63,261,0.550,0.557,0.564
64,271,0.564,0.571,0.578
65,249,0.578,0.586,0.593
66,230,0.593,0.601,0.609
67,212,0.609,0.616,0.624
68,260,0.624,0.632,0.640
69,243,0.640,0.649,0.657
70,240,0.657,0.665,0.674
71,271,0.674,0.683,0.691
72,236,0.691,0.700,0.709
73,264,0.709,0.718,0.728
74,283,0.728,0.737,0.746
75,250,0.746,0.756,0.766
76,291,0.766,0.775,0.785
77,267,0.785,0.796,0.806
78,247,0.806,0.816,0.827
79,228,0.827,0.837,0.848
80,238,0.848,0.859,0.870
81,288,0.870,0.881,0.892
82,227,0.892,0.904,0.915
83,250,0.915,0.927,0.939
84,206,0.939,0.951,0.963
85,172,0.963,0.976,0.988
86,101,0.988,1.001,1.014
87,99,1.014,1.027,1.040
88,139,1.040,1.053,1.067
89,145,1.067,1.080,1.094
90,173,1.094,1.108,1.123
91,174,1.123,1.137,1.152
92,216,1.152,1.166,1.181
93,267,1.181,1.197,1.212
