"Multisizer","2018-10-30  13:23"
"File name:","2K_M4_2018-10-30_13.#m4"
"Generation:","2K"
"Population:","M4"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-30  13:22"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","11529"
"Counting threshold:","0.600"
"Counts above threshold:","11529"
"Coincidence corrected:","12686"

"From","0.113"
"To","3054"
"Number ",12537
"Mean:","0.940"
"Median:","0.472"
"D(0,0):",1.011
"Mean/Median ratio:","1.991"
"Mode:","0.114"
"95% Conf. Limits:","0.919"
"95% Conf. Limits:","0.960"
"S.D.:","1.175"
"Variance:","1.382"
"C.V.:","125.1"
"Skewness:","3.061"
"Kurtosis:","14.38"
"d10:","0.144"
"d50:","0.472"
"d90:","2.306"
"Specific Surf. Area:","43542"

"% <","Size "
10,0.144
25,0.225
50,0.472
75,1.176
90,2.306

"% >","Size "
10,2.306
25,1.176
50,0.472
75,0.225
90,0.144

"Size ","% <"
1,70.6
10,99.9
100,100
1000,100

"Size ","% >"
1,29.4
10,0.14
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,216,0.113,0.114,0.116
2,211,0.116,0.117,0.119
3,151,0.119,0.120,0.122
4,131,0.122,0.124,0.125
5,126,0.125,0.127,0.128
6,114,0.128,0.130,0.132
7,106,0.132,0.133,0.135
8,94,0.135,0.137,0.139
9,95,0.139,0.140,0.142
10,62,0.142,0.144,0.146
11,76,0.146,0.148,0.150
12,66,0.150,0.152,0.153
13,65,0.153,0.155,0.157
14,77,0.157,0.159,0.162
15,85,0.162,0.164,0.166
16,104,0.166,0.168,0.170
17,110,0.170,0.172,0.174
18,99,0.174,0.177,0.179
19,122,0.179,0.181,0.183
20,114,0.183,0.186,0.188
21,146,0.188,0.191,0.193
22,145,0.193,0.196,0.198
23,120,0.198,0.201,0.203
24,133,0.203,0.206,0.208
25,130,0.208,0.211,0.214
26,124,0.214,0.217,0.219
27,142,0.219,0.222,0.225
28,120,0.225,0.228,0.231
29,108,0.231,0.234,0.237
30,122,0.237,0.240,0.243
31,117,0.243,0.246,0.249
32,108,0.249,0.252,0.256
33,101,0.256,0.259,0.262
34,102,0.262,0.266,0.269
35,86,0.269,0.272,0.276
36,87,0.276,0.280,0.283
37,88,0.283,0.287,0.290
38,90,0.290,0.294,0.298
39,77,0.298,0.302,0.306
40,90,0.306,0.310,0.314
41,104,0.314,0.318,0.322
42,89,0.322,0.326,0.330
43,95,0.330,0.334,0.338
44,99,0.338,0.343,0.347
45,114,0.347,0.352,0.356
46,100,0.356,0.361,0.365
47,131,0.365,0.370,0.375
48,127,0.375,0.380,0.384
49,143,0.384,0.389,0.394
50,130,0.394,0.399,0.405
51,138,0.405,0.410,0.415
52,112,0.415,0.420,0.426
53,105,0.426,0.431,0.437
54,99,0.437,0.442,0.448
55,113,0.448,0.454,0.460
56,120,0.460,0.466,0.472
57,108,0.472,0.478,0.484
58,123,0.484,0.490,0.496
59,84,0.496,0.503,0.509
60,90,0.509,0.516,0.522
61,91,0.522,0.529,0.536
62,85,0.536,0.543,0.550
63,102,0.550,0.557,0.564
64,70,0.564,0.571,0.578
65,88,0.578,0.586,0.593
66,72,0.593,0.601,0.609
67,72,0.609,0.616,0.624
68,92,0.624,0.632,0.640
69,71,0.640,0.649,0.657
70,92,0.657,0.665,0.674
71,100,0.674,0.683,0.691
72,71,0.691,0.700,0.709
73,87,0.709,0.718,0.728
74,77,0.728,0.737,0.746
75,77,0.746,0.756,0.766
76,88,0.766,0.775,0.785
77,81,0.785,0.796,0.806
78,96,0.806,0.816,0.827
79,69,0.827,0.837,0.848
80,86,0.848,0.859,0.870
81,104,0.870,0.881,0.892
82,104,0.892,0.904,0.915
83,87,0.915,0.927,0.939
84,81,0.939,0.951,0.963
85,98,0.963,0.976,0.988
86,85,0.988,1.001,1.014
87,75,1.014,1.027,1.040
88,97,1.040,1.053,1.067
89,84,1.067,1.080,1.094
90,109,1.094,1.108,1.123
91,81,1.123,1.137,1.152
92,69,1.152,1.166,1.181
93,82,1.181,1.197,1.212
94,79,1.212,1.227,1.243
95,75,1.243,1.259,1.275
96,87,1.275,1.292,1.308
97,83,1.308,1.325,1.342
98,72,1.342,1.359,1.377
99,83,1.377,1.394,1.412
100,67,1.412,1.430,1.449
101,68,1.449,1.467,1.486
102,99,1.486,1.505,1.525
103,64,1.525,1.544,1.564
104,71,1.564,1.584,1.605
105,80,1.605,1.625,1.646
106,83,1.646,1.667,1.689
107,64,1.689,1.710,1.732
108,68,1.732,1.754,1.777
109,76,1.777,1.800,1.823
110,60,1.823,1.846,1.870
111,70,1.870,1.894,1.918
112,62,1.918,1.943,1.968
113,52,1.968,1.993,2.019
114,62,2.019,2.045,2.071
115,64,2.071,2.097,2.124
116,63,2.124,2.152,2.179
117,66,2.179,2.207,2.236
118,66,2.236,2.264,2.293
119,45,2.293,2.323,2.353
120,54,2.353,2.383,2.413
121,60,2.413,2.444,2.476
122,44,2.476,2.507,2.540
123,59,2.540,2.572,2.605
124,40,2.605,2.639,2.673
125,34,2.673,2.707,2.742
126,47,2.742,2.777,2.812
127,37,2.812,2.849,2.885
128,41,2.885,2.922,2.960
129,33,2.960,2.998,3.036
130,32,3.036,3.075,3.115
131,38,3.115,3.155,3.195
132,53,3.195,3.236,3.278
133,40,3.278,3.320,3.362
134,32,3.362,3.406,3.449
135,44,3.449,3.494,3.538
136,29,3.538,3.584,3.630
137,37,3.630,3.676,3.724
138,26,3.724,3.771,3.820
139,30,3.820,3.869,3.919
140,19,3.919,3.969,4.020
141,24,4.020,4.071,4.124
142,16,4.124,4.177,4.230
143,26,4.230,4.285,4.340
144,21,4.340,4.395,4.452
145,29,4.452,4.509,4.567
146,30,4.567,4.625,4.685
147,19,4.685,4.745,4.806
148,24,4.806,4.867,4.930
149,18,4.930,4.993,5.057
150,20,5.057,5.122,5.188
151,12,5.188,5.255,5.322
152,11,5.322,5.390,5.460
153,9,5.460,5.530,5.601
154,11,5.601,5.673,5.745
155,9,5.745,5.819,5.894
156,16,5.894,5.969,6.046
157,6,6.046,6.124,6.202
158,7,6.202,6.282,6.363
159,6,6.363,6.444,6.527
160,5,6.527,6.611,6.696
161,5,6.696,6.782,6.869
162,5,6.869,6.957,7.046
163,4,7.046,7.137,7.228
164,3,7.228,7.321,7.415
165,4,7.415,7.510,7.607
166,8,7.607,7.704,7.803
167,2,7.803,7.903,8.005
168,5,8.005,8.108,8.212
169,2,8.212,8.317,8.424
170,3,8.424,8.532,8.641
171,2,8.641,8.752,8.865
172,5,8.865,8.979,9.094
173,0,9.094,9.211,9.329
174,1,9.329,9.449,9.570
175,0,9.570,9.693,9.817
176,0,9.817,9.943,10.07
177,1,10.07,10.20,10.33
178,1,10.33,10.46,10.60
179,0,10.60,10.73,10.87
180,2,10.87,11.01,11.15
181,1,11.15,11.30,11.44
182,1,11.44,11.59,11.74
183,1,11.74,11.89,12.04
184,2,12.04,12.19,12.35
185,2,12.35,12.51,12.67
186,1,12.67,12.83,13.00
187,0,13.00,13.16,13.33
188,0,13.33,13.50,13.68
189,1,13.68,13.85,14.03
190,0,14.03,14.21,14.39
191,1,14.39,14.58,14.77
192,0,14.77,14.96,15.15
193,0,15.15,15.34,15.54
194,0,15.54,15.74,15.94
195,0,15.94,16.14,16.35
196,0,16.35,16.56,16.77
197,1,16.77,16.99,17.21
198,0,17.21,17.43,17.65
199,0,17.65,17.88,18.11
200,0,18.11,18.34,18.58
201,0,18.58,18.82,19.06
202,1,19.06,19.30,19.55
203,0,19.55,19.80,20.05
204,0,20.05,20.31,20.57
205,1,20.57,20.84,21.10
206,0,21.10,21.38,21.65
207,0,21.65,21.93,22.21
208,0,22.21,22.49,22.78
209,0,22.78,23.08,23.37
210,0,23.37,23.67,23.98
211,0,23.98,24.28,24.60
212,0,24.60,24.91,25.23
213,0,25.23,25.55,25.88
214,0,25.88,26.21,26.55
215,0,26.55,26.89,27.24
216,0,27.24,27.59,27.94
217,0,27.94,28.30,28.66
218,0,28.66,29.03,29.40
219,0,29.40,29.78,30.16
220,0,30.16,30.55,30.94
221,0,30.94,31.34,31.74
222,0,31.74,32.15,32.56
223,0,32.56,32.98,33.40
224,0,33.40,33.83,34.27
225,0,34.27,34.71,35.15
226,0,35.15,35.60,36.06
227,0,36.06,36.52,36.99
228,0,36.99,37.47,37.95
229,0,37.95,38.44,38.93
230,0,38.93,39.43,39.94
231,0,39.94,40.45,40.97
232,0,40.97,41.49,42.03
233,0,42.03,42.57,43.11
234,0,43.11,43.67,44.23
235,0,44.23,44.79,45.37
236,0,45.37,45.95,46.54
237,0,46.54,47.14,47.74
238,0,47.74,48.36,48.98
239,0,48.98,49.61,50.24
240,0,50.24,50.89,51.54
241,0,51.54,52.20,52.87
242,0,52.87,53.55,54.24
243,0,54.24,54.94,55.64
244,0,55.64,56.35,57.08
245,0,57.08,57.81,58.55
246,0,58.55,59.30,60.07
247,0,60.07,60.84,61.62
248,0,61.62,62.41,63.21
249,0,63.21,64.02,64.84
250,0,64.84,65.68,66.52
251,0,66.52,67.37,68.24
252,0,68.24,69.11,70.00
253,0,70.00,70.90,71.81
254,0,71.81,72.73,73.67
255,0,73.67,74.61,75.57
256,0,75.57,76.54,77.52
257,0,77.52,78.52,79.52
258,0,79.52,80.55,81.58
259,0,81.58,82.63,83.69
260,0,83.69,84.76,85.85
261,0,85.85,86.95,88.07
262,0,88.07,89.20,90.34
263,0,90.34,91.50,92.68
264,0,92.68,93.87,95.07
265,0,95.07,96.29,97.53
266,0,97.53,98.78,100.1
267,0,100.1,101.3,102.6
268,0,102.6,104.0,105.3
269,0,105.3,106.6,108.0
270,0,108.0,109.4,110.8
271,0,110.8,112.2,113.7
272,0,113.7,115.1,116.6
273,0,116.6,118.1,119.6
274,0,119.6,121.1,122.7
275,0,122.7,124.3,125.9
276,0,125.9,127.5,129.1
277,0,129.1,130.8,132.5
278,0,132.5,134.2,135.9
279,0,135.9,137.6,139.4
280,0,139.4,141.2,143.0
281,0,143.0,144.8,146.7
282,0,146.7,148.6,150.5
283,0,150.5,152.4,154.4
284,0,154.4,156.4,158.4
285,0,158.4,160.4,162.5
286,0,162.5,164.5,166.7
287,0,166.7,168.8,171.0
288,0,171.0,173.2,175.4
289,0,175.4,177.6,179.9
290,0,179.9,182.2,184.6
291,0,184.6,186.9,189.3
292,0,189.3,191.8,194.2
293,0,194.2,196.7,199.2
294,0,199.2,201.8,204.4
295,0,204.4,207.0,209.7
296,0,209.7,212.4,215.1
297,0,215.1,217.8,220.6
298,0,220.6,223.5,226.3
299,0,226.3,229.2,232.2
300,0,232.2,235.2,238.2
301,0,238.2,241.2,244.3
302,0,244.3,247.5,250.7
303,0,250.7,253.9,257.1
304,0,257.1,260.4,263.8
305,0,263.8,267.2,270.6
306,0,270.6,274.1,277.6
307,0,277.6,281.1,284.8
308,0,284.8,288.4,292.1
309,0,292.1,295.9,299.7
310,0,299.7,303.5,307.4
311,0,307.4,311.4,315.4
312,0,315.4,319.4,323.5
313,0,323.5,327.7,331.9
314,0,331.9,336.1,340.4
315,0,340.4,344.8,349.2
316,0,349.2,353.7,358.3
317,0,358.3,362.9,367.5
318,0,367.5,372.2,377.0
319,0,377.0,381.8,386.7
320,0,386.7,391.7,396.7
321,0,396.7,401.8,407.0
322,0,407.0,412.2,417.5
323,0,417.5,422.9,428.3
324,0,428.3,433.8,439.4
325,0,439.4,445.0,450.7
326,0,450.7,456.5,462.4
327,0,462.4,468.3,474.3
328,0,474.3,480.4,486.6
329,0,486.6,492.8,499.1
330,0,499.1,505.6,512.0
331,0,512.0,518.6,525.3
332,0,525.3,532.0,538.8
333,0,538.8,545.8,552.8
334,0,552.8,559.9,567.1
335,0,567.1,574.3,581.7
336,0,581.7,589.2,596.7
337,0,596.7,604.4,612.2
338,0,612.2,620.0,628.0
339,0,628.0,636.0,644.2
340,0,644.2,652.5,660.8
341,0,660.8,669.3,677.9
342,0,677.9,686.6,695.4
343,0,695.4,704.4,713.4
344,0,713.4,722.6,731.8
345,0,731.8,741.2,750.8
346,0,750.8,760.4,770.2
347,0,770.2,780.0,790.1
348,0,790.1,800.2,810.5
349,0,810.5,820.9,831.4
350,0,831.4,842.1,852.9
351,0,852.9,863.8,874.9
352,0,874.9,886.2,897.5
353,0,897.5,909.1,920.7
354,0,920.7,932.5,944.5
355,0,944.5,956.6,968.9
356,0,968.9,981.4,994.0
357,0,994.0,1007,1020
358,0,1020,1033,1046
359,0,1046,1059,1073
360,0,1073,1087,1101
361,0,1101,1115,1129
362,0,1129,1144,1158
363,0,1158,1173,1188
364,0,1188,1204,1219
365,0,1219,1235,1251
366,0,1251,1267,1283
367,0,1283,1299,1316
368,0,1316,1333,1350
369,0,1350,1367,1385
370,0,1385,1403,1421
371,0,1421,1439,1457
372,0,1457,1476,1495
373,0,1495,1514,1534
374,0,1534,1553,1573
375,0,1573,1593,1614
376,0,1614,1635,1656
377,0,1656,1677,1698
378,0,1698,1720,1742
379,0,1742,1765,1787
380,0,1787,1810,1833
381,0,1833,1857,1881
382,0,1881,1905,1929
383,0,1929,1954,1979
384,0,1979,2005,2030
385,0,2030,2057,2083
386,0,2083,2110,2137
387,0,2137,2164,2192
388,0,2192,2220,2249
389,0,2249,2277,2307
390,0,2307,2336,2366
391,0,2366,2397,2427
392,0,2427,2459,2490
393,0,2490,2522,2555
394,0,2555,2587,2621
395,0,2621,2654,2688
396,0,2688,2723,2758
397,0,2758,2793,2829
398,0,2829,2865,2902
399,0,2902,2939,2977
400,0,2977,3015,3054
,,3054,,

"Sequence","Time","Volume","Diameter"
"","seconds","fL","um"
1,0.000,0.425,0.933
2,0.001,1.810,1.512
3,0.003,2.577,1.701
4,0.004,0.116,0.605
5,0.005,4.040,1.976
6,0.006,0.176,0.696
7,0.008,0.986,1.235
8,0.009,0.362,0.884
9,0.010,2.251,1.626
10,0.011,1.499,1.420
11,0.013,2.527,1.690
12,0.014,0.154,0.665
13,0.015,1.153,1.301
14,0.016,4.905,2.108
15,0.018,0.117,0.607
16,0.019,2.361,1.652
17,0.020,0.196,0.721
18,0.021,0.746,1.125
19,0.023,0.207,0.734
20,0.024,3.008,1.791
21,0.025,0.120,0.613
22,0.026,0.460,0.958
23,0.028,1.409,1.391
24,0.029,0.807,1.155
25,0.030,0.697,1.100
26,0.031,0.474,0.968
27,0.033,0.235,0.766
28,0.034,0.161,0.675
29,0.035,0.207,0.734
30,0.036,1.388,1.384
31,0.038,0.188,0.711
32,0.039,0.454,0.953
33,0.040,0.208,0.736
34,0.041,2.509,1.686
35,0.043,0.307,0.837
36,0.044,0.984,1.234
37,0.045,0.469,0.964
38,0.046,0.401,0.915
39,0.048,0.128,0.625
40,0.049,0.238,0.769
41,0.050,0.366,0.888
42,0.051,0.210,0.738
43,0.053,7.023,2.376
44,0.054,0.960,1.224
45,0.055,0.788,1.146
46,0.056,2.559,1.697
47,0.058,3.507,1.885
48,0.059,0.672,1.087
49,0.060,0.338,0.864
50,0.061,2.251,1.626
51,0.063,0.514,0.994
52,0.064,2.193,1.612
53,0.065,0.428,0.935
54,0.066,2.874,1.764
55,0.068,0.552,1.018
56,0.069,0.117,0.606
57,0.070,0.134,0.635
58,0.071,0.214,0.742
59,0.073,0.186,0.709
60,0.074,3.089,1.807
61,0.075,0.221,0.750
62,0.076,0.365,0.886
63,0.078,0.296,0.827
64,0.079,0.912,1.203
65,0.080,5.336,2.168
66,0.081,4.374,2.029
67,0.083,2.030,1.571
68,0.084,0.410,0.922
69,0.085,0.118,0.609
70,0.086,0.204,0.731
71,0.088,0.165,0.681
72,0.089,0.601,1.047
73,0.090,0.398,0.913
74,0.092,0.941,1.216
75,0.093,0.599,1.046
76,0.095,3.353,1.857
77,0.096,2.395,1.660
78,0.098,0.168,0.685
79,0.099,0.873,1.186
80,0.101,0.470,0.964
81,0.103,0.412,0.923
82,0.104,0.671,1.086
83,0.106,0.122,0.616
84,0.107,0.195,0.719
85,0.109,0.559,1.022
86,0.110,0.171,0.689
87,0.112,1.912,1.540
88,0.113,0.140,0.644
89,0.115,0.873,1.186
90,0.117,2.404,1.662
91,0.118,2.089,1.586
92,0.120,2.015,1.567
93,0.121,0.751,1.128
94,0.123,0.503,0.987
95,0.124,0.468,0.963
96,0.126,0.807,1.155
97,0.128,0.604,1.049
98,0.129,0.387,0.904
99,0.131,0.117,0.607
100,0.132,1.060,1.265
101,0.134,0.253,0.785
102,0.135,0.178,0.697
103,0.137,0.794,1.149
104,0.138,3.666,1.913
105,0.140,0.344,0.870
106,0.142,1.164,1.305
107,0.143,0.202,0.728
108,0.145,0.671,1.086
109,0.146,1.057,1.264
110,0.148,1.606,1.453
111,0.149,1.935,1.546
112,0.151,0.822,1.162
113,0.153,0.755,1.130
114,0.154,0.193,0.717
115,0.156,1.920,1.542
116,0.157,0.177,0.696
117,0.159,0.533,1.006
118,0.160,0.146,0.653
119,0.162,0.891,1.194
120,0.163,1.308,1.357
121,0.165,1.656,1.468
122,0.167,0.622,1.059
123,0.168,1.480,1.414
124,0.170,1.237,1.332
125,0.171,2.318,1.642
126,0.173,1.563,1.440
127,0.174,0.146,0.653
128,0.176,0.117,0.607
129,0.178,1.180,1.311
130,0.179,0.944,1.217
131,0.181,1.085,1.275
132,0.182,0.463,0.960
133,0.184,0.751,1.128
134,0.185,0.443,0.946
135,0.187,0.257,0.789
136,0.188,0.706,1.105
137,0.190,2.133,1.597
138,0.192,3.535,1.890
139,0.193,0.431,0.937
140,0.195,0.120,0.613
141,0.196,0.144,0.651
142,0.198,0.236,0.767
143,0.199,2.289,1.635
144,0.201,0.150,0.659
145,0.203,1.739,1.492
146,0.204,0.403,0.916
147,0.206,1.140,1.296
148,0.207,0.240,0.771
149,0.209,4.335,2.023
150,0.210,0.394,0.909
151,0.212,1.055,1.263
152,0.213,0.195,0.720
153,0.215,0.935,1.213
154,0.217,0.224,0.753
155,0.218,0.171,0.689
156,0.220,0.714,1.109
157,0.221,0.536,1.008
158,0.223,0.577,1.033
159,0.224,0.564,1.025
160,0.226,1.013,1.246
161,0.228,2.030,1.571
162,0.229,0.281,0.812
163,0.231,0.344,0.869
164,0.232,0.784,1.144
165,0.234,0.390,0.906
166,0.235,0.177,0.697
167,0.237,0.137,0.640
168,0.238,0.205,0.732
169,0.240,0.324,0.852
170,0.242,0.189,0.713
171,0.243,0.388,0.905
172,0.245,4.898,2.107
173,0.246,0.716,1.110
174,0.248,1.145,1.298
175,0.249,2.284,1.634
176,0.251,1.684,1.476
177,0.252,0.263,0.795
178,0.254,4.989,2.120
179,0.256,6.012,2.256
180,0.257,0.217,0.746
181,0.259,0.396,0.911
182,0.260,1.065,1.267
183,0.262,0.199,0.724
184,0.263,0.157,0.669
185,0.265,0.134,0.635
186,0.267,1.145,1.298
187,0.268,2.938,1.777
188,0.270,0.435,0.940
189,0.271,0.115,0.603
190,0.273,0.250,0.781
191,0.274,0.376,0.896
192,0.276,1.518,1.426
193,0.278,0.198,0.723
194,0.279,0.306,0.836
195,0.281,2.284,1.634
196,0.282,0.448,0.950
197,0.284,0.632,1.065
198,0.285,3.865,1.947
199,0.287,0.113,0.600
200,0.288,0.907,1.201
201,0.290,0.126,0.623
202,0.291,0.404,0.917
203,0.293,0.125,0.620
204,0.294,0.241,0.773
205,0.295,0.229,0.759
206,0.296,0.260,0.791
207,0.298,0.546,1.014
208,0.299,1.015,1.247
209,0.300,3.671,1.914
210,0.301,0.627,1.062
211,0.303,0.458,0.957
212,0.304,0.141,0.646
213,0.305,0.209,0.736
214,0.306,1.323,1.362
215,0.308,1.065,1.267
216,0.309,0.159,0.673
217,0.310,0.991,1.237
218,0.311,0.143,0.649
219,0.313,1.180,1.311
220,0.314,0.433,0.939
221,0.315,0.393,0.909
222,0.316,1.718,1.486
223,0.318,0.247,0.779
224,0.319,0.164,0.679
225,0.320,1.025,1.251
226,0.321,0.415,0.925
227,0.323,0.246,0.778
228,0.324,2.725,1.733
229,0.325,0.216,0.745
230,0.326,2.226,1.620
231,0.328,1.361,1.375
232,0.329,0.373,0.893
233,0.330,0.589,1.040
234,0.332,1.418,1.394
235,0.333,0.858,1.179
236,0.334,3.666,1.913
237,0.335,0.430,0.936
238,0.337,2.284,1.634
239,0.338,0.485,0.975
240,0.339,0.399,0.914
241,0.340,0.115,0.604
242,0.342,0.210,0.738
243,0.343,0.158,0.671
244,0.344,0.128,0.625
245,0.345,0.165,0.681
246,0.347,0.382,0.900
247,0.348,0.852,1.176
248,0.349,0.574,1.031
249,0.350,3.967,1.964
250,0.352,1.868,1.528
251,0.353,1.950,1.550
252,0.354,3.718,1.922
253,0.355,2.998,1.789
254,0.357,0.419,0.929
255,0.358,0.473,0.967
256,0.359,0.208,0.735
257,0.360,0.548,1.015
258,0.362,1.653,1.467
259,0.363,1.509,1.423
260,0.364,0.134,0.635
261,0.365,0.527,1.002
262,0.367,0.428,0.935
263,0.368,0.610,1.052
264,0.369,1.680,1.475
265,0.371,0.482,0.973
266,0.372,0.778,1.141
267,0.373,0.205,0.731
268,0.374,0.121,0.614
269,0.376,0.209,0.736
270,0.377,5.980,2.252
271,0.378,0.631,1.064
272,0.379,2.404,1.662
273,0.381,2.077,1.583
274,0.382,0.811,1.157
275,0.383,1.890,1.534
276,0.384,2.777,1.744
277,0.386,0.402,0.916
278,0.387,0.259,0.791
279,0.388,0.147,0.656
280,0.389,0.125,0.621
281,0.391,1.643,1.464
282,0.392,0.805,1.154
283,0.393,1.218,1.325
284,0.394,0.455,0.954
285,0.396,0.530,1.004
286,0.397,0.589,1.040
287,0.398,3.882,1.950
288,0.399,0.459,0.957
289,0.401,1.303,1.355
290,0.402,0.591,1.041
291,0.403,0.744,1.124
292,0.404,0.201,0.727
293,0.406,2.222,1.619
294,0.407,0.136,0.638
295,0.408,0.613,1.054
296,0.409,0.549,1.016
297,0.411,4.322,2.021
298,0.412,3.120,1.813
299,0.413,0.508,0.990
300,0.415,0.340,0.866
301,0.416,1.352,1.372
302,0.417,2.447,1.672
303,0.418,1.008,1.244
304,0.420,1.132,1.293
305,0.421,0.451,0.952
306,0.422,0.856,1.178
307,0.423,0.200,0.726
308,0.425,0.120,0.612
309,0.426,1.988,1.560
