"Multisizer","2018-11-01  13:08"
"File name:","2K_P4_2018-11-01_65.#m4"
"Generation:","2K"
"Population:","P4"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-01  13:08"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","27493"
"Counting threshold:","0.600"
"Counts above threshold:","27493"
"Coincidence corrected:","28679"

"From","0.113"
"To","3054"
"Number ",28668
"Mean:","0.408"
"Median:","0.344"
"D(0,0):",0.884
"Mean/Median ratio:","1.184"
"Mode:","0.310"
"95% Conf. Limits:","0.405"
"95% Conf. Limits:","0.411"
"S.D.:","0.267"
"Variance:","0.0713"
"C.V.:","65.52"
"Skewness:","12.35"
"Kurtosis:","464.2"
"d10:","0.207"
"d50:","0.344"
"d90:","0.685"
"Specific Surf. Area:","60089"

"% <","Size "
10,0.207
25,0.261
50,0.344
75,0.475
90,0.685

"% >","Size "
10,0.685
25,0.475
50,0.344
75,0.261
90,0.207

"Size ","% <"
1,97.5
10,99.96
100,99.99
1000,100

"Size ","% >"
1,2.52
10,0.038
100,0.0070
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,24,0.113,0.114,0.116
2,22,0.116,0.117,0.119
3,22,0.119,0.120,0.122
4,28,0.122,0.124,0.125
5,35,0.125,0.127,0.128
6,34,0.128,0.130,0.132
7,47,0.132,0.133,0.135
8,47,0.135,0.137,0.139
9,53,0.139,0.140,0.142
10,55,0.142,0.144,0.146
11,59,0.146,0.148,0.150
12,88,0.150,0.152,0.153
13,97,0.153,0.155,0.157
14,93,0.157,0.159,0.162
15,102,0.162,0.164,0.166
16,138,0.166,0.168,0.170
17,161,0.170,0.172,0.174
18,189,0.174,0.177,0.179
19,213,0.179,0.181,0.183
20,231,0.183,0.186,0.188
21,236,0.188,0.191,0.193
22,289,0.193,0.196,0.198
23,296,0.198,0.201,0.203
24,319,0.203,0.206,0.208
25,381,0.208,0.211,0.214
26,405,0.214,0.217,0.219
27,425,0.219,0.222,0.225
28,466,0.225,0.228,0.231
29,487,0.231,0.234,0.237
30,486,0.237,0.240,0.243
31,555,0.243,0.246,0.249
32,540,0.249,0.252,0.256
33,584,0.256,0.259,0.262
34,626,0.262,0.266,0.269
35,588,0.269,0.272,0.276
36,644,0.276,0.280,0.283
37,647,0.283,0.287,0.290
38,708,0.290,0.294,0.298
39,720,0.298,0.302,0.306
40,707,0.306,0.310,0.314
41,687,0.314,0.318,0.322
42,673,0.322,0.326,0.330
43,707,0.330,0.334,0.338
44,659,0.338,0.343,0.347
45,668,0.347,0.352,0.356
46,605,0.356,0.361,0.365
47,664,0.365,0.370,0.375
48,651,0.375,0.380,0.384
49,621,0.384,0.389,0.394
50,586,0.394,0.399,0.405
51,566,0.405,0.410,0.415
52,529,0.415,0.420,0.426
53,547,0.426,0.431,0.437
54,485,0.437,0.442,0.448
55,454,0.448,0.454,0.460
56,457,0.460,0.466,0.472
57,424,0.472,0.478,0.484
58,367,0.484,0.490,0.496
59,337,0.496,0.503,0.509
60,355,0.509,0.516,0.522
61,348,0.522,0.529,0.536
62,322,0.536,0.543,0.550
