"Multisizer","2018-11-09  15:34"
"File name:","2K_P5_2018-11-09_114.#m4"
"Generation:","2K"
"Population:","P5"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-09  15:34"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","19443"
"Counting threshold:","0.600"
"Counts above threshold:","19443"
"Coincidence corrected:","20093"

"From","0.113"
"To","3054"
"Number ",20089
"Mean:","0.614"
"Median:","0.531"
"D(0,0):",1.023
"Mean/Median ratio:","1.155"
"Mode:","0.503"
"95% Conf. Limits:","0.610"
"95% Conf. Limits:","0.618"
"S.D.:","0.296"
"Variance:","0.0879"
"C.V.:","48.29"
"Skewness:","2.061"
"Kurtosis:","6.915"
"d10:","0.347"
"d50:","0.531"
"d90:","1.005"
"Specific Surf. Area:","55676"

"% <","Size "
10,0.347
25,0.421
50,0.531
75,0.713
90,1.005

"% >","Size "
10,1.005
25,0.713
50,0.531
75,0.421
90,0.347

"Size ","% <"
1,89.9
10,100
100,100
1000,100

"Size ","% >"
1,10.1
10,0
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,0,0.113,0.114,0.116
2,1,0.116,0.117,0.119
3,0,0.119,0.120,0.122
4,0,0.122,0.124,0.125
5,1,0.125,0.127,0.128
6,0,0.128,0.130,0.132
7,0,0.132,0.133,0.135
8,2,0.135,0.137,0.139
9,0,0.139,0.140,0.142
10,0,0.142,0.144,0.146
11,1,0.146,0.148,0.150
12,0,0.150,0.152,0.153
13,2,0.153,0.155,0.157
14,0,0.157,0.159,0.162
15,1,0.162,0.164,0.166
16,4,0.166,0.168,0.170
17,2,0.170,0.172,0.174
18,3,0.174,0.177,0.179
19,3,0.179,0.181,0.183
20,4,0.183,0.186,0.188
21,6,0.188,0.191,0.193
22,5,0.193,0.196,0.198
23,8,0.198,0.201,0.203
24,8,0.203,0.206,0.208
25,7,0.208,0.211,0.214
26,9,0.214,0.217,0.219
27,13,0.219,0.222,0.225
28,29,0.225,0.228,0.231
29,26,0.231,0.234,0.237
30,20,0.237,0.240,0.243
31,40,0.243,0.246,0.249
32,47,0.249,0.252,0.256
33,62,0.256,0.259,0.262
34,59,0.262,0.266,0.269
35,71,0.269,0.272,0.276
36,85,0.276,0.280,0.283
37,100,0.283,0.287,0.290
38,107,0.290,0.294,0.298
39,169,0.298,0.302,0.306
40,161,0.306,0.310,0.314
41,190,0.314,0.318,0.322
42,249,0.322,0.326,0.330
43,227,0.330,0.334,0.338
44,257,0.338,0.343,0.347
45,295,0.347,0.352,0.356
46,350,0.356,0.361,0.365
47,343,0.365,0.370,0.375
48,389,0.375,0.380,0.384
49,447,0.384,0.389,0.394
50,450,0.394,0.399,0.405
51,473,0.405,0.410,0.415
52,488,0.415,0.420,0.426
