"Multisizer","2018-10-04  14:51"
"File name:","50K_M3 new_2018-10-04_152.#m4"
"Population:","50K"
"Generation:","M3 new"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-04  14:50"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","17003"
"Counting threshold:","0.600"
"Counts above threshold:","17003"
"Coincidence corrected:","28922"

"From","0.113"
"To","3054"
"Number ",28083
"Mean:","1.709"
"Median:","0.939"
"D(0,0):",1.133
"Mean/Median ratio:","1.819"
"Mode:","0.114"
"95% Conf. Limits:","1.681"
"95% Conf. Limits:","1.736"
"S.D.:","2.346"
"Variance:","5.504"
"C.V.:","137.3"
"Skewness:","3.144"
"Kurtosis:","16.03"
"d10:","0.124"
"d50:","0.939"
"d90:","4.527"
"Specific Surf. Area:","34582"

"% <","Size "
10,0.124
25,0.165
50,0.939
75,2.014
90,4.527

"% >","Size "
10,4.527
25,2.014
50,0.939
75,0.165
90,0.124

"Size ","% <"
1,53.0
10,98.6
100,100
1000,100

"Size ","% >"
1,47.0
10,1.38
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,994,0.113,0.114,0.116
2,922,0.116,0.117,0.119
3,671,0.119,0.120,0.122
4,550,0.122,0.124,0.125
5,615,0.125,0.127,0.128
6,499,0.128,0.130,0.132
7,488,0.132,0.133,0.135
8,404,0.135,0.137,0.139
9,363,0.139,0.140,0.142
10,303,0.142,0.144,0.146
11,345,0.146,0.148,0.150
12,286,0.150,0.152,0.153
13,275,0.153,0.155,0.157
14,246,0.157,0.159,0.162
15,193,0.162,0.164,0.166
16,176,0.166,0.168,0.170
17,132,0.170,0.172,0.174
18,138,0.174,0.177,0.179
19,127,0.179,0.181,0.183
20,110,0.183,0.186,0.188
21,99,0.188,0.191,0.193
22,78,0.193,0.196,0.198
23,74,0.198,0.201,0.203
24,82,0.203,0.206,0.208
25,81,0.208,0.211,0.214
26,53,0.214,0.217,0.219
27,62,0.219,0.222,0.225
28,93,0.225,0.228,0.231
29,73,0.231,0.234,0.237
30,72,0.237,0.240,0.243
31,70,0.243,0.246,0.249
32,47,0.249,0.252,0.256
33,56,0.256,0.259,0.262
34,47,0.262,0.266,0.269
35,49,0.269,0.272,0.276
36,59,0.276,0.280,0.283
37,64,0.283,0.287,0.290
38,84,0.290,0.294,0.298
39,107,0.298,0.302,0.306
40,82,0.306,0.310,0.314
41,93,0.314,0.318,0.322
42,79,0.322,0.326,0.330
43,92,0.330,0.334,0.338
44,98,0.338,0.343,0.347
45,105,0.347,0.352,0.356
46,124,0.356,0.361,0.365
47,139,0.365,0.370,0.375
48,122,0.375,0.380,0.384
49,84,0.384,0.389,0.394
50,96,0.394,0.399,0.405
51,81,0.405,0.410,0.415
52,62,0.415,0.420,0.426
53,69,0.426,0.431,0.437
54,50,0.437,0.442,0.448
55,34,0.448,0.454,0.460
56,42,0.460,0.466,0.472
57,40,0.472,0.478,0.484
58,30,0.484,0.490,0.496
59,27,0.496,0.503,0.509
60,36,0.509,0.516,0.522
61,40,0.522,0.529,0.536
62,41,0.536,0.543,0.550
63,49,0.550,0.557,0.564
64,45,0.564,0.571,0.578
65,38,0.578,0.586,0.593
66,52,0.593,0.601,0.609
