"Multisizer","2019-11-27  15:45"
"File name:","50K_M3_2019-11-27_18.#m4"
"Generation:","50K"
"Population:","M3"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-27  15:44"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","116327"
"Counting threshold:","0.600"
"Counts above threshold:","116327"
"Coincidence corrected:","129427"

"From","0.113"
"To","22.45"
"Number ",129.3e3
"Mean:","1.120"
"Median:","0.938"
"D(0,0):",1.222
"Mean/Median ratio:","1.193"
"Mode:","0.942"
"95% Conf. Limits:","1.116"
"95% Conf. Limits:","1.124"
"S.D.:","0.774"
"Variance:","0.599"
"C.V.:","69.12"
"Skewness:","4.378"
"Kurtosis:","36.14"
"d10:","0.596"
"d50:","0.938"
"d90:","1.923"
"Specific Surf. Area:","44950"

"% <","Size "
10,0.596
25,0.745
50,0.938
75,1.188
90,1.923

"% >","Size "
10,1.923
25,1.188
50,0.938
75,0.745
90,0.596

"Size ","% <"
1,57.9
10,99.96
100,100
1000,100

"Size ","% >"
1,42.1
10,0.039
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,1310,0.113,0.117,0.121
2,871,0.121,0.126,0.130
3,600,0.130,0.135,0.140
4,340,0.140,0.144,0.149
5,261,0.149,0.154,0.159
6,162,0.159,0.165,0.170
7,104,0.170,0.175,0.181
8,68,0.181,0.186,0.192
9,57,0.192,0.198,0.204
10,79,0.204,0.210,0.217
11,62,0.217,0.223,0.229
12,72,0.229,0.236,0.243
13,47,0.243,0.250,0.257
14,67,0.257,0.264,0.271
15,54,0.271,0.279,0.286
16,89,0.286,0.294,0.302
17,64,0.302,0.310,0.318
18,73,0.318,0.326,0.334
19,87,0.334,0.343,0.351
20,122,0.351,0.360,0.369
21,111,0.369,0.378,0.387
22,190,0.387,0.397,0.406
23,244,0.406,0.416,0.426
24,315,0.426,0.436,0.446
25,359,0.446,0.456,0.467
26,573,0.467,0.478,0.488
27,753,0.488,0.499,0.510
28,962,0.510,0.522,0.533
29,1266,0.533,0.545,0.556
30,1635,0.556,0.568,0.581
31,2310,0.581,0.593,0.605
32,2686,0.605,0.618,0.631
33,3212,0.631,0.644,0.657
34,3505,0.657,0.670,0.684
35,3915,0.684,0.697,0.711
36,4359,0.711,0.725,0.740
37,4867,0.740,0.754,0.769
