"Multisizer","2019-11-22  14:18"
"File name:","50K_P6_2019-11-22_24.#m4"
"Generation:","50K"
"Population:","P6"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-22  14:17"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","18245"
"Counting threshold:","0.600"
"Counts above threshold:","18245"
"Coincidence corrected:","18519"

"From","0.113"
"To","22.45"
"Number ",18473
"Mean:","1.357"
"Median:","1.274"
"D(0,0):",1.316
"Mean/Median ratio:","1.066"
"Mode:","1.198"
"95% Conf. Limits:","1.345"
"95% Conf. Limits:","1.370"
"S.D.:","0.884"
"Variance:","0.781"
"C.V.:","65.12"
"Skewness:","9.349"
"Kurtosis:","133.9"
"d10:","0.832"
"d50:","1.274"
"d90:","1.866"
"Specific Surf. Area:","42653"

"% <","Size "
10,0.832
25,1.052
50,1.274
75,1.581
90,1.866

"% >","Size "
10,1.866
25,1.581
50,1.274
75,1.052
90,0.832

"Size ","% <"
1,19.7
10,99.8
100,100
1000,100

"Size ","% >"
1,80.3
10,0.23
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,132,0.113,0.117,0.121
2,94,0.121,0.126,0.130
3,79,0.130,0.135,0.140
4,53,0.140,0.144,0.149
5,53,0.149,0.154,0.159
6,69,0.159,0.165,0.170
7,38,0.170,0.175,0.181
8,47,0.181,0.186,0.192
9,33,0.192,0.198,0.204
10,33,0.204,0.210,0.217
11,41,0.217,0.223,0.229
12,40,0.229,0.236,0.243
13,25,0.243,0.250,0.257
14,36,0.257,0.264,0.271
15,22,0.271,0.279,0.286
16,38,0.286,0.294,0.302
17,22,0.302,0.310,0.318
18,23,0.318,0.326,0.334
19,20,0.334,0.343,0.351
20,15,0.351,0.360,0.369
21,24,0.369,0.378,0.387
22,24,0.387,0.397,0.406
23,32,0.406,0.416,0.426
24,30,0.426,0.436,0.446
25,21,0.446,0.456,0.467
26,8,0.467,0.478,0.488
27,26,0.488,0.499,0.510
28,33,0.510,0.522,0.533
29,18,0.533,0.545,0.556
30,34,0.556,0.568,0.581
31,25,0.581,0.593,0.605
32,26,0.605,0.618,0.631
33,29,0.631,0.644,0.657
34,44,0.657,0.670,0.684
35,72,0.684,0.697,0.711
36,71,0.711,0.725,0.740
37,81,0.740,0.754,0.769
38,117,0.769,0.784,0.798
39,140,0.798,0.814,0.829
40,204,0.829,0.845,0.860
41,265,0.860,0.876,0.892
42,314,0.892,0.909,0.925
43,469,0.925,0.942,0.959
44,514,0.959,0.976,0.993
45,543,0.993,1.011,1.029
46,666,1.029,1.047,1.065
47,794,1.065,1.083,1.102
48,845,1.102,1.121,1.140
49,878,1.140,1.159,1.178
50,898,1.178,1.198,1.218
51,875,1.218,1.238,1.258
52,766,1.258,1.279,1.300
53,727,1.300,1.321,1.342
54,704,1.342,1.363,1.385
55,710,1.385,1.407,1.429
56,477,1.429,1.452,1.474
57,696,1.474,1.497,1.520
58,633,1.520,1.543,1.567
59,567,1.567,1.591,1.614
60,519,1.614,1.639,1.663
61,545,1.663,1.688,1.713
62,492,1.713,1.738,1.764
63,480,1.764,1.789,1.815
64,387,1.815,1.842,1.868
65,304,1.868,1.895,1.922
66,279,1.922,1.949,1.976
67,198,1.976,2.004,2.032
68,190,2.032,2.060,2.089
69,99,2.089,2.118,2.147
70,84,2.147,2.176,2.206
71,75,2.206,2.236,2.265
72,42,2.265,2.296,2.327
73,42,2.327,2.358,2.389
74,30,2.389,2.420,2.452
75,25,2.452,2.484,2.516
76,31,2.516,2.549,2.582
77,10,2.582,2.615,2.648
78,27,2.648,2.682,2.716
