population,fitnessMP,fitnessClones
606_0K,0.982222891,0.9824488
607_0K,0.982222891,0.9824488
M1_2K,1.262659378,1.2122076
M2_2K,1.228010409,1.1784917
M3_2K,1.235567725,1.2747298
M4_2K,1.252426506,1.2936059
M5_2K,1.225086578,1.2037955
M6_2K,1.237207417,1.2049194
P1_2K,1.240105089,1.3187243
P2_2K,1.383870685,1.3656308
P3_2K,1.292417307,1.2633643
P4_2K,1.132774185,1.1252382
P5_2K,1.313073566,1.2852042
P6_2K,1.219446758,
M1_10K,1.335199016,1.3886295
M2_10K,1.496917997,1.6197063
M3_10K,1.564819115,1.2865938
M4_10K,1.649120639,1.4255498
M5_10K,1.310476847,1.3345284
M6_10K,1.414345728,1.2952326
P1_10K,1.283385096,1.3016959
P2_10K,1.485883504,1.3789154
P3_10K,1.524579613,1.3881288
P4_10K,1.543829523,1.4385507
P5_10K,1.516078691,1.365234
P6_10K,,
M1_50K,1.594220371,1.412345
M2_50K,,
M3_50K,,
M4_50K,1.808399628,1.576087
M5_50K,1.655876778,1.6440337
M6_50K,1.473198061,1.4057902
P1_50K,1.406023364,1.3033033
P2_50K,2.105789492,1.6985865
P3_50K,1.803960259,1.7160754
P4_50K,1.675603199,1.4255527
P5_50K,1.65764556,1.3835677
P6_50K,,
